Article,Unit,Value
Άρθρο 3,##Υπουργός Ανάπτυξης και Επενδύσεων,"α) η μελέτη θεμάτων και η συγκέντρωση 
των αναγκαίων στοιχείων για την παροχή κατάλληλης 
ενημέρωσης, β) η επιμέλεια της αλληλογραφίας, γ) η 
τήρηση του προσωπικού πρωτοκόλλου, δ) η φροντίδα 
για ό,τι αφορά την επικοινωνία με βουλευτές, πολίτες, 
εκπροσώπους των κοινωνικών φορέων και δημόσιους 
γενικά λειτουργούς, και ε) η μέριμνα για τη σωστή εκπλήρωση των εθιμοτυπικών υποχρεώσεων. (παρ. 3 του άρθρου 45 του N# 4622/2019)"
Άρθρο 6,##Υπουργείο Ανάπτυξης και Επενδύσεων,"α) Κεντρική Ένωση Επιμελητηρίων (ΚΕΕ) β) Εμπορικά, Βιομηχανικά, Βιοτεχνικά, Επαγγελματικά 
Επιμελητήρια:
βα) Εμπορικό και Βιομηχανικό Επιμελητήριο Αθηνών 
(ΕΒΕΑ) ββ) Βιοτεχνικό Επιμελητήριο Αθηνών (ΒΕΑ)
βγ) Επαγγελματικό Επιμελητήριο Αθηνών (ΕΕΑ)
βδ) Εμπορικό και Βιομηχανικό Επιμελητήριο Θεσσαλονίκης (ΕΒΕΘ)
βε) Βιοτεχνικό Επιμελητήριο Θεσσαλονίκης (ΒΕΘ)
βστ) Επαγγελματικό Επιμελητήριο Θεσσαλονίκης 
(ΕΕΘ)
βζ) Εμπορικό και Βιομηχανικό Επιμελητήριο Πειραιά 
(ΕΒΕΠ)
βη) Βιοτεχνικό Επιμελητήριο Πειραιά (ΒΕΠ)
βθ) Επαγγελματικό Επιμελητήριο Πειραιά (ΕΕΠ)
βι) Εμπορικό και Βιομηχανικό Επιμελητήριο Ροδόπης 
(ΕΒΕΡ)
βια) Επαγγελματικό και Βιοτεχνικό Επιμελητήριο Ροδόπης
βιβ) Επιμελητήριο Αιτωλοακαρνανίας
βιγ) Επιμελητήριο Αργολίδας
βιδ) Επιμελητήριο Αρκαδίας
βιε) Επιμελητήριο Άρτας
βιστ) Επιμελητήριο Αχαΐας
βιζ) Επιμελητήριο Βοιωτίας
βιη) Επιμελητήριο Γρεβενών
βιθ) Επιμελητήριο Δράμας
βκ) Επιμελητήριο Δωδεκανήσου
βκα) Επιμελητήριο Έβρου
βκβ) Επιμελητήριο Εύβοιας
βκγ) Επιμελητήριο Ευρυτανίας
βκδ) Επιμελητήριο Ζακύνθου
βκε) Επιμελητήριο Ηλείας
βκστ) Επιμελητήριο Ηρακλείου
βκζ) Επιμελητήριο Ημαθίας
βκη) Επιμελητήριο Θεσπρωτίας
βκθ) Επιμελητήριο Ιωαννίνων
βλ) Επιμελητήριο Καβάλας
βλα) Επιμελητήριο Καρδίτσας
βλβ) Επιμελητήριο Καστοριάς
βλγ) Επιμελητήριο Κέρκυρας
βλδ) Επιμελητήριο Κεφαλληνίας και Ιθάκης
βλε) Επιμελητήριο Κιλκίς
βλστ) Επιμελητήριο Κοζάνης
βλζ) Επιμελητήριο Κορινθίας
βλη) Επιμελητήριο Κυκλάδων
βλθ) Επιμελητήριο Λακωνίας
βμ) Επιμελητήριο Λάρισας
βμα) Επιμελητήριο Λασιθίου
βμβ) Επιμελητήριο Λέσβου
βμγ) Επιμελητήριο Λευκάδας
βμδ) Επιμελητήριο Μαγνησίας
βμε) Επιμελητήριο Μεσσηνίας
βμστ) Επιμελητήριο Ξάνθης 
βμζ) Επιμελητήριο Πέλλας 
βμη) Επιμελητήριο Πιερίας 
βμθ) Επιμελητήριο Πρέβεζας 
βν) Επιμελητήριο Ρεθύμνης 
βνα) Επιμελητήριο Σάμου 
βνβ) Επιμελητήριο Σερρών 
βνγ) Επιμελητήριο Τρικάλων 
βνδ) Επιμελητήριο Φθιώτιδας 
βνε) Επιμελητήριο Φλωρίνης 
βνστ) Επιμελητήριο Φωκίδας 
βνζ) Επιμελητήριο Χαλκιδικής 
βνη) Επιμελητήριο Χανίων 
βνθ) Επιμελητήριο Χίου"
Άρθρο 8,##Γραφείο Επικοινωνίας και Ενημέρωσης,"α) Η πληροφόρηση των μέσων ενημέρωσης για τις 
δραστηριότητες του Υπουργείου και η προβολή του 
έργου του. β) Η κάλυψη γεγονότων και εκδηλώσεων γενικού ενδιαφέροντος του Υπουργείου. γ) Η παρακολούθηση, επισήμανση και συλλογή ειδήσεων και δημοσιευμάτων, που αφορούν δραστηριότητες 
του Υπουργείου και η ενημέρωση του Υπουργού. δ) Η παροχή πληροφοριών και διευκολύνσεων στους 
Έλληνες και ξένους δημοσιογράφους και στους αντιπροσώπους ξένων κρατών, σχετικά με το έργο του Υπουργείου και του Υπουργού. ε) Η επιμέλεια οργάνωσης εορταστικών εκδηλώσεων, 
καθώς και ευαισθητοποίησης και διάχυσης των δημοσίων πολιτικών του Υπουργείου στην κοινωνία. στ) Ο συντονισμός των υπηρεσιών για οποιαδήποτε 
δημοσίευση του Υπουργείου. ζ) Η εποπτεία του περιεχομένου της ιστοσελίδας και η 
έγκριση κάθε επικαιροποίησής της, καθώς και η σύνδεση 
με την κεντρική και με άλλες κυβερνητικές ιστοσελίδες. η) Η οργάνωση εκδηλώσεων του Υπουργείου, η παροχή αιγίδας και η διοικητική οργάνωση συνεντεύξεων 
της πολιτικής ηγεσίας. θ) Η υποστήριξη για κάθε διαβούλευση του Υπουργείου με κοινωνικούς φορείς και εκπροσώπους της κοινωνίας των πολιτών, για κάθε θέμα αρμοδιότητας του 
Υπουργείου. ι) Η διαχείριση κάθε είδους διαφημιστικής προβολής 
ή καμπάνιας του Υπουργείου, σε συνεργασία με τις αρμόδιες καθ’ ύλην υπηρεσίες."
Άρθρο 9,##Γραφείο Υπευθύνου Προστασίας Δεδομένων,"α) Η διασφάλιση της προστασίας των δεδομένων προσωπικού χαρακτήρα εντός του Υπουργείου. β) Η συνδρομή στον υπεύθυνο επεξεργασίας ή στον 
εκτελούντα την εργασία, ήτοι στο σύνολο των υπηρεσιών του Υπουργείου, σε όλα τα ζητήματα που σχετίζονται με την προστασία των δεδομένων προσωπικού 
χαρακτήρα. γ) Η παρακολούθηση της συμμόρφωσης του Υπουργείου με το σύνολο της νομοθεσίας, που αφορά στην 
προστασία δεδομένων προσωπικού χαρακτήρα, και 
ιδίως, κατά τη διάρκεια ελέγχων, δραστηριοτήτων ενημέρωσης και εκπαίδευσης του προσωπικού που συμμετέχει σε πράξεις επεξεργασίας συμπεριλαμβανομένων 
της ανάθεσης αρμοδιοτήτων, της ευαισθητοποίησης και 
της κατάρτισης των υπαλλήλων που συμμετέχουν στις 
πράξεις επεξεργασίας, και των σχετικών ελέγχων. δ) Η παροχή συμβουλών, όσον αφορά στην εκτίμηση 
αντίκτυπου σύμφωνα με το άρθρο 35 του ΓΚΠΔ, για την 
προστασία των δεδομένων προσωπικού χαρακτήρα και 
η παρακολούθηση της εφαρμογής της. ε) Η παρακολούθηση της τήρησης της νομοθεσίας για 
την προστασία δεδομένων προσωπικού χαρακτήρα, και 
των πολιτικών του δημόσιου φορέα σε σχέση με την 
προστασία των δεδομένων προσωπικού χαρακτήρα, και 
ιδίως της λογοδοσίας, και των σχετικών ελέγχων. στ) Η εκπροσώπηση του υπεύθυνου επεξεργασίας 
έναντι των αρχών, εθνικών και ευρωπαϊκών. ζ) Η επιτέλεση της λειτουργίας του σημείου επαφής 
για αιτήματα φυσικών προσώπων, που αφορούν στην 
επεξεργασία των δεδομένων προσωπικού χαρακτήρα 
αυτών και στην άσκηση των δικαιωμάτων τους. η) Η επικοινωνία με την Αρχή Προστασίας Δεδομένων Προσωπικού Χαρακτήρα, ως σημείο επαφής, και 
η συνεργασία με αυτήν σε θέματα που αφορούν την 
επεξεργασία, και ιδίως τη διενέργεια προηγούμενης διαβούλευσης, σύμφωνα με το άρθρο 36 του ΓΚΠΔ, και 
την αναζήτηση οδηγιών και καθοδήγησης. θ) Η κατάρτιση και υποβολή στον Υπουργό ετήσιας 
έκθεσης δραστηριοτήτων του Γραφείου."
Άρθρο 10,##Γραφείο Συμβούλου Ακεραιότητας,"α) Η παροχή εξατομικευμένης συμβουλευτικής συνδρομής για ζητήματα δεοντολογίας και ακεραιότητας, 
που αντιμετωπίζει ο υπάλληλος, κατά την ενάσκηση 
των υπηρεσιακών του καθηκόντων, συμπεριλαμβανομένων θεμάτων, όπως η σεξουαλική παρενόχληση, οι 
διακρίσεις, ο εκφοβισμός, η ηθική παρενόχληση και η 
σύγκρουση συμφερόντων. β) Η παραλαβή αναφορών από τους υπαλλήλους του 
Υπουργείου, για περιστατικά παραβίασης ακεραιότητας 
ή διαφθοράς και η άσκηση διαμεσολάβησης, προκειμένου να επιληφθούν τα όργανα του Υπουργείου ή εξωτερικοί φορείς, που είναι αρμόδιοι για τη διερεύνησή τους. γ) Η παρακολούθηση της διαδικασίας της διερεύνησης 
της αναφοράς και η σχετική ενημέρωση του υπαλλήλου 
που την υπέβαλε. δ) Η παροχή ενημέρωσης στο προσωπικό του Υπουργείου, για θέματα δεοντολογίας και ακεραιότητας, καθώς 
και για τη λειτουργία, τις αρμοδιότητες και την αποστολή 
του Συμβούλου Ακεραιότητας. ε) Ο σχεδιασμός και ο συντονισμός δράσεων εκπαίδευσης και ανάπτυξης ικανοτήτων για τους υπαλλήλους 
του Υπουργείου και τους υπαλλήλους των εποπτευόμενων φορέων, σε συνεργασία με την αρμόδια υπηρεσία 
του Υπουργείου για θέματα εκπαίδευσης, καθώς και με 
εξωτερικούς φορείς παροχής υπηρεσιών εκπαίδευσης. στ) Η συμμετοχή στη χάραξη εσωτερικών πολιτικών 
και στην ανάπτυξη εργαλείων για την ενίσχυση της ακεραιότητας και της διαφάνειας, όπως κώδικες ηθικής και 
δεοντολογίας, κανονισμοί διαχείρισης φαινομένων σύγκρουσης συμφερόντων, πρωτόκολλα αντιμετώπισης 
περιστατικών απάτης και διαφθοράς. ζ) Η ενημέρωση και συνεργασία με τον Υπουργό, τη 
Μονάδα Εσωτερικού Ελέγχου και τη Γενική Διεύθυνση 
Διοικητικής Υποστήριξης, για την ανάπτυξη και εφαρμογή πολιτικών και προτύπων ακεραιότητας εντός του 
Υπουργείου. η) Η διατύπωση προτάσεων βελτίωσης των μηχανισμών πρόληψης, αποτροπής και εντοπισμού προς τον 
Υπουργό, αναφορικά με περιστατικά παραβιάσεων ακεραιότητας. θ) Η σύνταξη ετήσιας έκθεσης και η υποβολή στον 
Υπουργό και στην Εθνική Αρχή Διαφάνειας, για την αποτελεσματικότητα των πολιτικών και διαδικασιών ακεραιότητας, που χρησιμοποιεί το Υπουργείο, το έργο που 
επιτελέστηκε, καθώς και για την πορεία των υποθέσεων 
που χειρίστηκε."
Άρθρο 11,Γραφείο Σχεδιασμού και Διενέργειας Εσωτερικών Ελέγχων,"αα) Η ανάπτυξη και διαρκής βελτίωση της μεθοδολογίας και των εργαλείων του εσωτερικού ελέγχου, σύμφωνα 
με τα διεθνή πρότυπα.
αβ) Η σύνταξη και αναθεώρηση του Κανονισμού Λειτουργίας του Εσωτερικού Ελέγχου.
αγ) Η σύνταξη και αναθεώρηση Εγχειριδίου Εσωτερικών Ελέγχων.
αδ) Η κατάρτιση εξαμηνιαίου, ετήσιου ή μεγαλύτερης 
διάρκειας προγράμματος εσωτερικών ελέγχων, λαμβανομένων υπόψη των στρατηγικών και επιχειρησιακών 
προτεραιοτήτων του Υπουργείου.
αε) Η παροχή συμβουλευτικών υπηρεσιών στο Υπουργείο, για την εφαρμογή μιας ολοκληρωμένης πολιτικής 
διαχείρισης των κινδύνων, που απειλούν την επίτευξη 
των στόχων του.
αστ) Η μέριμνα για την εκπαίδευση και την επιμόρφωση των Εσωτερικών Ελεγκτών.
αζ) Η διενέργεια προγραμματισμένων εσωτερικών 
ελέγχων στις υπηρεσίες του Υπουργείου και των εποπτευόμενων φορέων αυτού.
αη) Ο έλεγχος επάρκειας του συστήματος εσωτερικού 
ελέγχου (internal controls) του Υπουργείου και η εισήγηση σχετικών βελτιωτικών προτάσεων.
αθ) Ο έλεγχος εφαρμογής και συμμόρφωσης με το 
εξωτερικό και εσωτερικό κανονιστικό πλαίσιο λειτουργίας του Υπουργείου.
αι) Η αξιολόγηση της λειτουργίας του Υπουργείου βάσει της αρχής της χρηστής δημοσιονομικής διαχείρισης.
αια) Η αξιολόγηση των διαδικασιών σχεδιασμού, της 
εκτέλεσης και της αξιολόγησης των λειτουργιών και των 
προγραμμάτων του Υπουργείου.
αιβ) Ο έλεγχος της ορθής εφαρμογής των διαδικασιών 
εκτέλεσης του προϋπολογισμού, διενέργειας των δαπανών και διαχείρισης της περιουσίας του Υπουργείου, 
για τον εντοπισμό φαινομένων κακοδιοίκησης και κακοδιαχείρισης, κατάχρησης, σπατάλης ή απάτης και την 
ανάπτυξη δικλίδων για την αποτροπή τους στο μέλλον.
αιγ) Ο έλεγχος της ορθής, αποτελεσματικής και ασφαλούς διαχείρισης και χρήσης των πληροφοριακών συστημάτων.
αιδ) Η διαβεβαίωση περί της ακρίβειας, της αξιοπιστίας 
και της έγκαιρης προετοιμασίας των χρηματοοικονομικών και λοιπών αναφορών.
αιε) Ο έλεγχος της επάρκειας του συστήματος διαχείρισης των κινδύνων, που απειλούν τις πολιτικές και τα 
προγράμματά του.
αιστ) Η επίβλεψη και η διασφάλιση της ορθής διενέργειας των εσωτερικών ελέγχων και η παρακολούθηση 
υλοποίησης του προγράμματος εσωτερικών ελέγχων, 
σύμφωνα με το εγκεκριμένο ελεγκτικό πρόγραμμα του 
Υπουργείου.
αιζ) Η σύνταξη προσωρινών εκθέσεων εσωτερικού 
ελέγχου και η αποστολή τους στις εμπλεκόμενες υπηρεσίες του Υπουργείου για την επίτευξη συμφωνίας επί 
των διορθωτικών και βελτιωτικών ενεργειών.
αιη) Η παροχή συμβουλευτικών υπηρεσιών στο 
Υπουργείο, σύμφωνα με τα σχετικά διεθνή πρότυπα 
και μεθοδολογίες.
αιθ) Η περιοδική παρακολούθηση, αξιολόγηση και επιβεβαίωση των διορθωτικών ή προληπτικών ενεργειών 
που πραγματοποιούνται από τις υπηρεσίες του Υπουργείου σε συμμόρφωση με τις προτάσεις του εσωτερικού 
ελέγχου, μέχρι την οριστική υλοποίησή τους.
ακ) Η υποβολή περιοδικής αναφοράς στον Υπουργό, 
σχετικά με τη συμμόρφωση των υπηρεσιών και την υποβολή σχετικών προτάσεων.
ακα) Η επεξεργασία των στοιχείων των επί μέρους εκθέσεων εσωτερικού ελέγχου και η κατάρτιση ετήσιας έκθεσης, στην οποία καταγράφονται οι δραστηριότητες και 
τα αποτελέσματα του εσωτερικού ελέγχου, η πρόοδος 
υλοποίησης των προτάσεων αυτού και οι υπολειμματικοί 
κίνδυνοι, που εξακολουθούν να απειλούν τις υπηρεσίες 
του Υπουργείου, λόγω της μη υλοποίησης διορθωτικών 
ενεργειών."
Άρθρο 11,Τμήμα Εσωτερικών Ερευνών και Διερεύνησης Καταγγελιών,"ββ) Η διενέργεια διοικητικής έρευνας, ένορκης διοικητικής εξέτασης, προκαταρκτικής εξέτασης ή προανάκρισης, κατόπιν εισαγγελικής παραγγελίας ή αυτεπαγγέλτως 
ή κατόπιν εντολής από το αρμόδιο όργανο ή μετά από 
αυτόφωρη σύλληψη, είτε βάσει καταγγελιών ή πληροφοριών που έχουν συλλεχθεί, επεξεργαστεί και αξιολογηθεί, για τη διερεύνηση ποινικών και πειθαρχικών 
αδικημάτων, καθώς και η παραπομπή των υπαιτίων στην 
αρμόδια εισαγγελική αρχή ή τον αρμόδιο πειθαρχικό 
προϊστάμενο.
βγ) Η διενέργεια των απαιτούμενων διαδικασιών για 
την πειθαρχική και ποινική δίωξη των υπαλλήλων, σύμφωνα με τις διατάξεις περί πειθαρχικού δικαίου, του 
Ποινικού Κώδικα ή άλλων ειδικών ποινικών νόμων, και 
για την συναφή επιβολή ή άρση των προβλεπόμενων 
ποινών.
βδ) Η συλλογή, η διερεύνηση, η επεξεργασία, η σύνθεση, η ανάλυση, η αξιολόγηση και η αξιοποίηση των 
πληροφοριών, καταγγελιών και στοιχείων, που αφορούν 
στην εμπλοκή υπαλλήλων του Υπουργείου ή εποπτευόμενου φορέα του σε πειθαρχικά και ποινικά αδικήματα.
βε) Η διενέργεια οικονομικού και διαχειριστικού ελέγχου δημοσίων υπόλογων και δημοσίων διαχειρίσεων, 
καθώς και ο καταλογισμός των ευθυνόμενων.
βστ) Η εισήγηση μέτρων για την αντιμετώπιση, την 
πρόληψη και την καταστολή της διαφθοράς στις υπηρεσίες και τους εποπτευόμενους φορείς του Υπουργείου.
βζ) Η τήρηση αρχείου των υποθέσεων του τμήματος 
και η εισήγηση στον Υπουργό για την αρχειοθέτηση των 
καταγγελιών-αναφορών, που κρίνονται ασαφείς ή ασήμαντες, καθώς και η επανεξέταση παλαιών υποθέσεων 
για τον εντοπισμό στοιχείων, που μπορούν να αξιοποιηθούν προς περαιτέρω έρευνα."
Άρθρο 12,Υπηρεσίας ΠΣΕΑ,"α) Η κατάρτιση, τήρηση και αναθεώρηση των σχεδίων ΠΣΕΑ, από την περίοδο της ειρήνης και εφαρμογής 
αυτών σε καιρό πολέμου, κρίσης ή έκτακτης ανάγκης. β) Η σύνταξη, αναθεώρηση και επικαιροποίηση των 
μνημονίων ενεργειών επί της επιχειρησιακής σχεδίασης 
ΠΣΕΑ, και η διατύπωση εισηγήσεων για τη διαχείριση 
κρίσεων και εκτάκτων αναγκών. γ) Ο σχολιασμός, ο έλεγχος και η έγκριση των σχεδίων 
ΠΣΕΑ περιφερειακού επιπέδου, αρμοδιότητας Υπουργείου. δ) Η συγκρότηση ομάδων εργασίας για την εκπόνηση και αναθεώρηση των οικείων σχεδίων ΠΣΕΑ και η 
συμμετοχή σε αντίστοιχες ομάδες λοιπών Υπουργείων. ε) Ο σχολιασμός των σχεδίων ΠΣΕΑ λοιπών υπουργείων, στα οποία εμπλέκεται το Υπουργείο. στ) Η κοινοποίηση των σχεδίων του Υπουργείου στους 
εμπλεκόμενους φορείς και η παροχή οδηγιών προς αυτούς, για την κατάρτιση σχεδίων/μνημονίων ενεργειών. ζ) Ο συντονισμός των υπηρεσιών του Υπουργείου 
και των εποπτευόμενων φορέων του, για τη συμμετοχή 
τους σε Εθνικές Ασκήσεις του Γενικού Επιτελείου Εθνικής 
Άμυνας. η) Η παρακολούθηση της ετοιμότητας του Συστήματος 
Συναγερμού ΠΑΜ-ΠΣΕΑ του Γενικού Επιτελείου Εθνικής 
Άμυνας (ΓΕΕΘΑ). θ) Η λήψη μέτρων εξασφάλισης των αναγκαίων μέσων, 
υλικών, εφοδίων και πιστώσεων για την υποστήριξη των 
σχεδίων ΠΣΕΑ αρμοδιότητας Υπουργείου. ι) Η κατάρτιση του ετήσιου προϋπολογισμού δαπανών 
για την οικονομική υποστήριξη της επιχειρησιακής σχεδίασης ΠΣΕΑ του πολιτικού τομέα και η υποβολή σχετικής εισήγησης δια του Υπουργείου Εθνικής Άμυνας 
(ΥΠΕΘΑ)/ΓΕΕΘΑ. ια) Η τήρηση στοιχείων για την υποστήριξη της επιχειρησιακής σχεδίασης ΠΣΕΑ αρμοδιότητας του Υπουργείου, σε προσωπικό, υλικά και μέσα τόσο σε κεντρικό όσο 
και περιφερειακό επίπεδο. ιβ) Η εφαρμογή του ΝΔ# 107/1973 (Α’ 195) και η υποβολή εισηγήσεων στο Συμβούλιο Αναστολών Κατάταξης (ΣΑΚ) δια των Γενικών Επιτελείων (ΓΕ) των Ενόπλων 
Δυνάμεων (ΕΔ), για την ένταξη οργανισμών και επιχειρήσεων, που υποστηρίζουν την οικεία επιχειρησιακή 
σχεδίαση, κεντρικού και περιφερειακού επιπέδου, στην 
Α’ ή Β’ κατηγορία, καθώς και η μέριμνα για την χορήγηση 
Αναστολών Κατάταξης σε εφέδρους, που εργάζονται 
στους άνω οργανισμούς και επιχειρήσεις, για την απρόσκοπτη λειτουργία τους σε περίοδο πολέμου. ιγ) Η υποβολή στο Κυβερνητικό Συμβούλιο Εξωτερικών και Άμυνας (ΚΥΣΕΑ), δια του ΥΠΕΘΑ/ΓΕΕΘΑ, κατά 
τον μήνα Φεβρουάριο, έκθεσης επί της προόδου σε θέματα ΠΣΕΑ, για το προηγούμενο ημερολογιακό έτος, 
αρμοδιότητας του Υπουργείου και εποπτευόμενων φορέων, συνοδευόμενη από εισηγήσεις σχετικές με την 
αναβάθμιση της ΠΣΕΑ. ιδ) Η μέριμνα για την εκπαίδευση του προσωπικού του 
Υπουργείου και των εποπτευόμενων αυτού φορέων σε 
θέματα ΠΣΕΑ. ιε) Η εποπτεία εφαρμογής του Εθνικού Κανονισμού 
Ασφαλείας (ΕΚΑ), ο οποίος κυρώθηκε με την υπ’ ΑΡ# 
Φ.120/01/510313/Σ.94/27-2-2018 απόφαση του Υπουργού Εθνικής Άμυνας (Β’683), και του Εθνικού Κανονισμού 
Βιομηχανικής Ασφάλειας (ΕΚΒΑ), ο οποίος κυρώθηκε 
με την υπ’ ΑΡ# Φ.120/402565/Σ.3497/22-9-2020 απόφαση του Υπουργού Εθνικής Άμυνας (Β’4071), τόσο στο 
Υπουργείο όσο και στους εποπτευόμενους φορείς του, 
και η διατύπωση εισηγήσεων για την ασφαλή λειτουργία 
των εγκαταστάσεών του. ιστ) Η μέριμνα για την εξουσιοδότηση του προσωπικού που χειρίζεται θέματα Εθνικών Διαβαθμισμένων 
Πληροφοριών και Υλικών (ΕΔΠΥ), καθώς και η εποπτεία 
εφαρμογής των κανόνων ασφαλείας των ΕΔΠΥ, και των 
διαδικασιών ασφαλείας των διαβαθμισμένων πληροφοριών, που τηρούνται και διακινούνται με φυσικό και 
ψηφιακό τρόπο. ιζ) Ο χειρισμός θεμάτων των κανονισμών Ασφαλείας 
Διαβαθμισμένου Υλικού Εθνικού και ΝΑΤΟ, έργων υποδομής Εθνικών και ΝΑΤΟ και ασφαλείας βιομηχανικών 
επιχειρήσεων. ιη) Ο συντονισμός επί των θεμάτων της «Ανώτερης 
Επιτροπής ΠΣΕΑ του ΝΑΤΟ», και των επιτροπών αυτής, 
στον τομέα δράσης του Υπουργείου, σύμφωνα με τις 
κατευθύνσεις του ΥΠΕΘΑ. ιθ) Η συγκρότηση Μικτών Επιτελικών Επιτροπών 
ή Ομάδας Εργασίας, από υπαλλήλους συναρμοδίων 
Υπουργείων, μετά από υπόδειξή τους, με σκοπό τη μελέτη, εισήγηση και σχεδίαση των επιμέρους θεμάτων 
ΠΣΕΑ, για τα οποία είναι αναγκαία η επίλυση με τη συνδρομή τους. κ) Η συμμετοχή του Προϊσταμένου της Υπηρεσίας 
ΠΣΕΑ ή του νόμιμου αναπληρωτή του στις Μικτές Επιτελικές Επιτροπές του ΓΕΕΘΑ, για την επιθεώρηση των 
δομών ΠΣΕΑ περιφερειακού επιπέδου. κα) Ο έλεγχος και η παρακολούθηση της οργάνωσης 
της Πολιτικής Άμυνας, των Δημοσίων Ανεξάρτητων Ιδρυμάτων αρμοδιότητας Υπουργείου της παρ. 2 του άρθρου 
13 του ΝΔ# 17/1974, που έχουν έδρα στον Νομό Αττικής, 
σύμφωνα με τις οδηγίες του Υπουργείου Προστασίας 
του Πολίτη. κβ) Η μέριμνα εκπροσώπησης του Υπουργείου στις 
αρμόδιες επιτροπές του τομέα ΠΣΕΑ του ΝΑΤΟ και της 
Ευρωπαϊκής Ένωσης (ΕΕ). κγ) Η μέριμνα για τη συμμετοχή σε συσκέψεις επιπέδου Υπουργείων και ΓΕΕΘΑ."
Άρθρο 14,Τμήμα Συντονισμού,"αα) Ο συντονισμός του έργου των διευθύνσεων της 
ΔΙΜΕΑ και των επιχειρήσεων ελέγχου αυτής, με στόχο 
την εύρυθμη λειτουργία της αγοράς και την αντιμετώπιση του παράνομου εμπορίου, συμπεριλαμβανομένου 
και του παράνομου ηλεκτρονικού εμπορίου.
αβ) Η παρακολούθηση και αξιολόγηση των δράσεων 
για τον έλεγχο της αγοράς και την πάταξη του παράνομου εμπορίου, συμπεριλαμβανομένου και του παράνομου ηλεκτρονικού εμπορίου.
αγ) Η τήρηση μητρώου ελεγκτών, στο οποίο εγγράφονται όλοι οι ελεγκτές που υπηρετούν με οποιαδήποτε σχέση εργασίας στη ΔΙΜΕΑ, καθώς και οι υπάλληλοι 
των αποκεντρωμένων διοικήσεων, που συμμετέχουν σε 
ελέγχους της ΔΙΜΕΑ.
αδ) Η παρακολούθηση της νομοθεσίας, η εισήγηση 
αλλαγών και τροποποιήσεων αυτής, καθώς και η εισήγηση για την έκδοση εγκυκλίων και οδηγιών.
αε) Η εισήγηση προτάσεων για τον έλεγχο της αγοράς, 
η αντιμετώπιση του παράνομου εμπορίου, και ιδίως του 
παράνομου ηλεκτρονικού εμπορίου, και η εκπαίδευση 
των ελεγκτών.
αστ) Η σύνταξη ενημερωτικών και πληροφοριακών 
εγγράφων.
αζ) Η σύνταξη μνημονίων συνεργασίας με δημόσιους 
και ιδιωτικούς φορείς για τον έλεγχο της αγοράς και την 
αντιμετώπιση του παράνομου εμπορίου, συμπεριλαμβανομένου και του παράνομου ηλεκτρονικού εμπορίου.
αη) Η κατάρτιση προγραμμάτων συνεχούς εκπαίδευσης των ελεγκτών όλων των υπηρεσιών και φορέων, που 
εμπλέκονται στον έλεγχο της αγοράς και την πάταξη του 
παράνομου εμπορίου, σύμφωνα με τις ανάγκες που προκύπτουν από την ανάλυση των δεδομένων."
Άρθρο 14,Τμήμα Διοικητικής Υποστήριξης,"ββ) Η παροχή γραμματειακής υποστήριξης στη ΔΙΜΕΑ 
η οποία ενδεικτικά περιλαμβάνει: 1) Την ανταλλαγή πάσης φύσεως αλληλογραφίας διαμέσου της γραμματείας με τις κατά περίπτωση ελεγκτικές αρχές ή άλλες υπηρεσίες και φορείς. 2) Την τηλεφωνική και ηλεκτρονική επικοινωνία κατά 
περίπτωση, καθώς και την επικοινωνία με άλλες υπηρεσίες, δημόσιους και ιδιωτικούς φορείς. 3) Την τήρηση του αρχείου, και ειδικού φακέλου για 
κάθε υπόθεση/περίπτωση, καθώς και τη χρέωση ανά 
Διεύθυνση των εισερχομένων αιτημάτων. 4) Τον συντονισμό της κίνησης των κλιμακίων (ελεγκτές, οδηγοί, οχήματα).
βγ) Η διοργάνωση συσκέψεων ή άλλων εκδηλώσεων 
σχετικά με τον έλεγχο της αγοράς και την αντιμετώπιση 
του παράνομου εμπορίου.
βδ) Ο συντονισμός των υπηρεσιών για την αντιμετώπιση κρίσεων στην αγορά μέσω εκπόνησης σχεδίων 
εκτάκτου ανάγκης.
βε) Η επεξεργασία των εισερχόμενων καταγγελιών και 
η ανάθεση αυτών στις αρμόδιες υπηρεσίες.
βστ) Η έκδοση εντολών ελέγχου.
βζ) Η απάντηση σε αιτήματα κοινοβουλευτικού ελέγχου και η επιμέλεια δικαστικών θεμάτων αρμοδιότητας 
της ΔΙΜΕΑ."
