Article,Unit,Value
Άρθρο 6,Τμήμα Νομοθετικής Πρωτοβουλίας Αρμοδιότητες του Τμήματος Νομοθετικής Πρωτοβουλίας,"α) Η συμμετοχή στο σχεδιασμό των νομοθετικών και 
κανονιστικών ρυθμίσεων αρμοδιότητας του Υπουργείου 
και η κατάρτιση των νομοσχεδίων που αναθέτει σε αυτό 
ο Υπουργός. β) Η παροχή της αναγκαίας τεχνογνωσίας στις υπηρεσίες που αναλαμβάνουν την εκπόνηση ή την απλούστευση ρυθμίσεων, με σκοπό την τήρηση των αρχών 
καλής νομοθέτησης. γ) Η σύνταξη, σε συνεργασία με τις αρμόδιες υπηρεσίες, της Ανάλυσης Συνεπειών Ρυθμίσεων του άρθρου 7 
του N# 4048/2012, (Α’ 34) και η ταυτόχρονη επισήμανση 
των συναφών νομοθετικών ή κανονιστικών ρυθμίσεων. δ) Η μέριμνα, σε συνεργασία με το Γραφείο Καλής 
Νομοθέτησης, για τη διενέργεια κοινωνικού διαλόγου 
και διαβουλεύσεων με εκπροσώπους των κοινωνικών 
φορέων και ενδιαφερόμενων ομάδων. ε) Η επισήμανση των νομοθετικών και κανονιστικών 
ρυθμίσεων του Υπουργείου που χρήζουν απλούστευσης, 
αναμόρφωσης, κωδικοποίησης ή επικαιροποίησης. στ) Η συλλογή, ταξινόμηση και προώθηση στην Κεντρική Επιτροπή Κωδικοποίησης του N# 3133/2003, 
(Α’ 85), της Γενικής Γραμματείας της Κυβέρνησης, κωδικοποιούμενων ρυθμίσεων ή ρυθμίσεων των νομικών 
πεδίων, στα οποία εντοπίζεται η ανάγκη αναμόρφωσης. ζ) Η σύνταξη, σε συνεργασία με τις αρμόδιες υπηρεσίες, της έκθεσης αξιολόγησης αποτελεσμάτων εφαρμογής των ρυθμίσεων του άρθρου 9 του N# 4048/2012, 
(Α’34). η) Η υποχρεωτική συμμετοχή στις νομοπαρασκευαστικές επιτροπές του Υπουργείου και η τήρηση ηλεκτρονικού αρχείου των τελικών προτάσεων των εν λόγω 
επιτροπών. θ) Η ενημέρωση των Διευθύνσεων του Υπουργείου για 
θεσπισμένες ρυθμίσεις αρμοδιότητας του Υπουργείου.
"
Άρθρο 7,##Τμήμα Εσωτερικού Ελέγχου Αρμοδιότητες του Τμήματος Εσωτερικού Ελέγχου,"α) Η παροχή ελεγκτικών - συμβουλευτικών αρμοδιοτήτων, όπως: αα) ο έλεγχος επάρκειας του συστήματος εσωτερικού 
ελέγχου (internal control) του Υπουργείου και η εισήγηση των σχετικών βελτιωτικών προτάσεων, ββ) ο έλεγχος εφαρμογής των κανόνων δικαίου, ο έλεγχος της νομιμότητας και κανονικότητας των δαπανών 
*INTOSAI*, όπως και του εσωτερικού 
κανονιστικού πλαισίου λειτουργίας του Υπουργείου, γγ) η αξιολόγηση της οικονομίας, της αποδοτικότητας 
και της αποτελεσματικότητας των δραστηριοτήτων του 
Υπουργείου (δηλαδή η αξιολόγηση της λειτουργίας του βάσει της αρχής της χρηστής δημοσιονομικής διαχείρισης), δδ) η αξιολόγηση του προγραμματισμού του σχεδιασμού και της εκτέλεσης των λειτουργιών του Υπουργείου, εε) ο έλεγχος της ορθής διενέργειας των δαπανών, της 
ορθής είσπραξης και εμφάνισης των εσόδων, της διαχείρισης κινδύνων, όπως και της διαχείρισης της περιουσίας του φορέα με την εξακρίβωση του ενεργητικού και 
παθητικού και του μισθολογικού κόστους, για τον εντοπισμό τυχόν φαινομένων κακοδιοίκησης και κακοδιαχείρισης, κατάχρησης, σπατάλης, απάτης ή διαφθοράς 
και την αποτροπή τους στο μέλλον, στστ) ο έλεγχος πληροφοριακών συστημάτων, προκειμένου να διαπιστωθεί κατά πόσον επιτυγχάνουν τους 
σκοπούς τους και εάν έχουν ενσωματωθεί σε αυτά επαρκείς ασφαλιστικές δικλείδες/μηχανισμοί ελέγχου, ζζ) η διαβεβαίωση περί της ακρίβειας, της αξιοπιστίας 
και της έγκαιρης προετοιμασίας των χρηματοοικονομικών (και λοιπών) αναφορών. β) Η παροχή διαβεβαίωσης περί της επάρκειας των 
συστημάτων διαχείρισης και ελέγχου του Υπουργείου. γ) Η διενέργεια τακτικού ελέγχου των παγίων προκαταβολών του Υπουργείου. δ) Η διενέργεια οικονομικού και διαχειριστικού ελέγχου των δημοσίων υπολόγων και δημοσίων διαχειρίσεων 
που υπάγονται στο Υπουργείο. ε) Η διενέργεια ένορκης διοικητικής εξέτασης σε περίπτωση απώλειας δικαιολογητικών πληρωμής δημόσιας 
δαπάνης πριν την έκδοση τίτλου πληρωμής. στ) Η έρευνα της ύπαρξης αντικειμενικής αδυναμίας 
απόδοσης λογαριασμού χρηματικού εντάλματος προπληρωμής. ζ) Η επιβολή δημοσιονομικών διορθώσεων στις περιπτώσεις που εντοπισθούν μεμονωμένες ή συστημικές 
παρατυπίες σε υπηρεσίες του Υπουργείου ή σε εποπτευόμενους φορείς του, εφόσον οι φορείς αυτοί δεν διαθέτουν μονάδα εσωτερικού ελέγχου και η παρακολούθηση 
της εκτέλεσής τους.
"
Άρθρο 9,Αρμοδιότητες του Τμήματος Σχέσεων,"αα) Η αποκλειστική και απευθείας επικοινωνία με τη 
Διεθνή Οργάνωση Εργασίας για το σύνολο των θεμάτων 
του πεδίου δράσης της Οργάνωσης. ββ) Η αποκλειστική και απευθείας επικοινωνία με το 
Συμβούλιο της Ευρώπης, σε ό,τι αφορά τον Ευρωπαϊκό 
Κοινωνικό Χάρτη και το Πρόσθετο Πρωτόκολλο Συλλογικών Καταγγελιών και η συντρέχουσα αρμοδιότητα 
για την απευθείας επικοινωνία με τους λοιπούς Διεθνείς 
Οργανισμούς. γγ) Η προετοιμασία και συμμετοχή στις εργασίες των 
διαφόρων Συνόδων των Οργάνων της Διεθνούς Οργάνωσης Εργασίας (και ο συντονισμός των χωρών μελών της Ε. Ε. στο πλαίσιο της Διεθνούς Οργάνωσης Εργασίας κατά την εκάστοτε ανάληψη της προεδρίας της Ε. Ε. από τη χώρα μας), των επιτροπών του Συμβουλίου της Ευρώπης, του Οργανισμού Οικονομικής Συνεργασίας και 
Ανάπτυξης (Ο.Ο.Σ.Α), του Οργανισμού Ηνωμένων Εθνών 
(Ο.Η.Ε.) (συμπεριλαμβανομένων των εξειδικευμένων οργανισμών αυτού), του Οργανισμού για την Ασφάλεια και 
τη Συνεργασία στην Ευρώπη (Ο.Α.Σ.Ε.), καθώς και στις 
εργασίες Συνδιασκέψεων, Συνεδρίων και Συναντήσεων 
των ανωτέρω Διεθνών Οργανισμών. δδ) Η υποβολή στους ανωτέρω Διεθνείς Οργανισμούς 
Εθνικών Εκθέσεων, απαντήσεων σε καταγγελίες και σε 
παρατηρήσεις στο πλαίσιο των ελεγκτικών οργάνων 
της ΔΟΕ και του Πρόσθετου Πρωτοκόλλου Συλλογικών 
Καταγγελιών του Ευρωπαϊκού Κοινωνικού Χάρτη του 
Συμβουλίου της Ευρώπης, απαντήσεων σε ερωτηματολόγια, καθώς και η υποβολή της Ετήσιας Έκθεσης του 
Υπουργείου προς την Επιτροπή για τα Δικαιώματα του 
Ανθρώπου, κατόπιν συνεργασίας με τις αρμόδιες Υπηρεσίες του Υπουργείου, τα συναρμόδια Υπουργεία και 
λοιπούς εμπλεκόμενους φορείς. εε) Η παρακολούθηση της εφαρμογής της Σύμβασης 
ΗΕ για τα Άτομα με Αναπηρία με την ιδιότητα του Τμήματος ως σημείο αναφοράς και ως συντονιστικός μηχανισμός για τη διευκόλυνση των σχετικών με αυτή δράσεων. στστ) Η υποβολή στη Βουλή προς κύρωση, κατόπιν 
σύγκλησης του Τμήματος Προώθησης Διεθνών Κανόνων Εργασίας του Ανωτάτου Συμβουλίου Εργασίας, των 
Διεθνών Συμβάσεων Εργασίας και των Πρωτοκόλλων 
που υιοθετούνται από τη Διεθνή Συνδιάσκεψη Εργασίας. ζζ) Η υποβολή στη Βουλή, προς ενημέρωση του Σώματος, των Διεθνών Κανόνων Εργασίας (Συμβάσεων, Συστάσεων, Πρωτοκόλλων), που υιοθετούνται από τη Διεθνή 
Συνδιάσκεψη Εργασίας της Δ.Ο.Ε., με τη σχετική εισήγηση 
περί της δυνατότητας κύρωσης ή εφαρμογής τους. ηη) Η εισήγηση για τη δυνατότητα κύρωσης διεθνών 
κανονιστικών κειμένων, στο πλαίσιο του Συμβουλίου της 
Ευρώπης, καθώς και η επεξεργασία και κατάρτιση των 
σχετικών αναγκαίων νομοθετικών κειμένων. θθ) Η προετοιμασία εισηγήσεων και η σύγκληση του 
Τμήματος Προώθησης των Διεθνών Κανόνων του Ανωτάτου Συμβουλίου Εργασίας, στο πλαίσιο της τριμερούς 
συνεργασίας και διαβούλευσης με αντικείμενο τη μελέτη 
και γνωμοδότηση επί σχετικών με τη Δ.Ο. Ε. θεμάτων. ιι) Η συνεισφορά, στα θέματα αρμοδιότητας του 
Υπουργείου, στην προετοιμασία των μελών της Βουλής 
των Ελλήνων κατά τη συμμετοχή τους στις εργασίες της 
Κοινοβουλευτικής Συνέλευσης του Συμβουλίου της Ευρώπης. ιαια) Η διοργάνωση και παρακολούθηση ημερίδων, 
συνεδρίων και άλλων διεθνών συναντήσεων καθώς και 
επισκέψεων κλιμακίων των ανωτέρω Διεθνών Οργανισμών. ιβιβ) Η υποστήριξη κατά τη διαδικασία κατάρτισης 
και υλοποίησης προγραμμάτων τεχνικής βοήθειας της 
Δ.Ο.Ε., στο πλαίσιο της συνεργασίας της χώρας με τη 
Δ.Ο.Ε.. ιγιγ) Η μέριμνα για την καταβολή της ετήσιας εισφοράς 
της χώρας μας στη Διεθνή Οργάνωση Εργασίας από το 
Υπουργείο Εργασίας, Κοινωνικής Ασφάλισης και Κοινωνικής Αλληλεγγύης."
Άρθρο 9,Αρμοδιότητες του Τμήματος Ευρωπαϊκών Θεμάτων Συνεργασίας,"αα) Η παρακολούθηση της ευρωπαϊκής πολιτικής και 
ειδικότερα στους τομείς αρμοδιότητας του Υπουργείου 
και ο συντονισμός για το χειρισμό και την προώθηση των 
ευρωπαϊκών θεμάτων στους ανωτέρω τομείς. ββ) Η παρακολούθηση της ενσωμάτωσης του δικαίου 
της Ε.Ε. στην ελληνική νομοθεσία και της εφαρμογής του 
στους τομείς αρμοδιότητας του Υπουργείου, σε συνεργασία με την αρμόδια Διεύθυνση του Υπουργείου, τη 
Γενική Γραμματεία της Κυβέρνησης και το Υπουργείο 
Εξωτερικών. γγ) Η παρακολούθηση διαδικασίας καταγγελιών, Υποθέσεων ΕU-ΡΙLΟΤ και προδικαστικών ερωτημάτων. δδ) Η προετοιμασία φακέλου για τα Συμβούλια Υπουργών Απασχόλησης και Κοινωνικής Πολιτικής της Ε.Ε., τα 
Συμβούλια Ευρωασιατικής και Ευρωμεσογειακής συνεργασίας άλλα συναφή Συμβούλια και Διασκέψεις Υπουργών καθώς και η συμμετοχή στην εκπροσώπηση των 
ανωτέρω συναντήσεων. εε) Η συγκέντρωση, επεξεργασία και τεκμηρίωση των 
απαραίτητων στοιχείων για την υποβοήθηση του έργου 
της Μόνιμης Ελληνικής Αντιπροσωπείας στην Ευρωπαϊκή Ένωση επί θεμάτων αρμοδιότητας Υπουργείου. στστ) Η συμμετοχή στις εργασίες των Επιτροπών της 
Ευρωπαϊκής Επιτροπής σε συνεργασία με τις αρμόδιες 
Υπηρεσίες του Υπουργείου, για θέματα αρμοδιότητας 
του Υπουργείου. ζζ) Ο συντονισμός των θέσεων των λοιπών Υπηρεσιών 
του Υπουργείου και η μέριμνα για την υποστήριξη ενιαίων θέσεων των Υπηρεσιών στα ευρωπαϊκά θεσμικά 
όργανα. ηη) Η προετοιμασία και ο συντονισμός των Υπηρεσιών 
του Υπουργείου κατά την ανάληψη από τη χώρα μας της 
Προεδρίας της Ε.Ε., η συνδιαμόρφωση των προτεραιοτήτων της χώρας μας και η υποστήριξη διοργάνωσης 
των σχετικών δράσεων. θθ) Η ενημέρωση των Ελλήνων Ευρωβουλευτών και 
των μελών του Ελληνικού Κοινοβουλίου για θέματα αρμοδιότητας του Υπουργείου. ιι) Η συνεισφορά στα θέματα αρμοδιότητας του 
Υπουργείου στα Συμβούλια Γενικών Υποθέσεων, τα Ευρωπαϊκά Συμβούλια και άλλα συναφή Συμβούλια της Ε.Ε. ιαια) Η προετοιμασία, ο συντονισμός και η υποστήριξη των διαπραγματεύσεων με χώρες εντός Ε.Ε. ή τρίτες 
χώρες για τη σύναψη διμερών - πολυμερών συμφωνιών 
στους τομείς αρμοδιότητας του Υπουργείου, η σύναψη 
και ανανέωση διμερών - πολυμερών συμφωνιών και 
προγραμμάτων μεταξύ της Ελλάδας και άλλων χωρών, 
στους τομείς αρμοδιότητας του Υπουργείου. ιβιβ) Η προετοιμασία των θεμάτων των διμερών ή 
πολυμερών συναντήσεων Υπουργών στην Ελλάδα ή το 
εξωτερικό, καθώς και των συναντήσεων Υπουργού με 
Πρέσβεις άλλων χωρών στην Ελλάδα (συγκέντρωση, επεξεργασία και τεκμηρίωση φακέλου και τήρηση αρχείου). ιγιγ) Ο συντονισμός των θέσεων των λοιπών Υπηρεσιών του Υπουργείου και η μέριμνα για την υποστήριξη ενιαίων θέσεων των Υπηρεσιών στο Υπουργείο Εξωτερικών 
και άλλους φορείς και η εκπροσώπηση του Υπουργείου 
σε διυπουργικές συναντήσεις σε συνεργασία με τις αρμόδιες Υπηρεσίες του Υπουργείου. ιδιδ) Η προετοιμασία και ο συντονισμός των Υπηρεσιών του Υπουργείου κατά την επίσκεψη εργασίας αντιπροσωπειών άλλων χωρών στην Ελλάδα και κατά την 
επίσκεψη ελληνικής αντιπροσωπείας στο εξωτερικό, στο 
πλαίσιο διμερών - πολυμερών σχέσεων και η συμμετοχή 
στην εκπροσώπηση του Υπουργείου κατά τις σχετικές 
συναντήσεις. ιειε) Η συνεργασία με τις ελληνικές υπηρεσίες του 
εξωτερικού, η παρακολούθηση των θεμάτων αρμοδιότητας του Υπουργείου στις άλλες χώρες και η διάχυση 
της σχετικής ενημέρωσης στις αρμόδιες Υπηρεσίες του 
Υπουργείου. ιστιστ) Η μέριμνα για τη μετάφραση ξενόγλωσσων 
εγγράφων, εντύπων και κειμένων στην ελληνική γλώσσα και αντίστροφα και η μέριμνα για την εξασφάλιση 
διερμηνείας κατά τη διάρκεια συναντήσεων με αντιπροσωπείες του εξωτερικού για το σύνολο του Υπουργείου.
ΚΕΦΑΛΑΙΟ Γ΄
Υπηρεσίες Υπουργείου Εργασίας, Κοινωνικής 
Ασφάλισης και Κοινωνικής Αλληλεγγύης"
Άρθρο 11,Αρμοδιότητες του Τμήματος Διοίκησης Ανθρώπινου Δυναμικού ΥΠ,"αα) Ο χειρισμός των θεμάτων υπηρεσιακής κατάστασης του προσωπικού του Υπουργείου και του Σώματος 
Επιθεώρησης Εργασίας (Σ.ΕΠ.Ε.) και η διαχείριση του 
προσωπικού τους Μητρώου και του Μητρώου απογραφής. ββ) Η επεξεργασία στοιχείων για την αριθμητική σύνθεση και τις αριθμητικές μεταβολές του προσωπικού, ο 
προγραμματισμός των αναγκών σε ανθρώπινο δυναμικό 
και η κατανομή σε κλάδους, βαθμούς και ειδικότητες των 
υπαλλήλων του Υπουργείου και του Σώματος Επιθεώρησης Εργασίας (Σ.ΕΠ.Ε.). γγ) Η συγκρότηση και ο ορισμός μελών των Συμβουλίων, Επιτροπών και Ομάδων Εργασίας του Υπουργείου 
και του Σώματος Επιθεώρησης Εργασίας (Σ.ΕΠ.Ε.) καθώς 
και ο ορισμός εκπροσώπων για τη συμμετοχή σε Συμβούλια, Επιτροπές και Ομάδες Εργασίας στην Ελλάδα, 
την Ευρωπαϊκή Ένωση και τους Διεθνείς Οργανισμούς.  δδ) Η τήρηση του εμπιστευτικού πρωτοκόλλου του 
Υπουργείου."
Άρθρο 11,Αρμοδιότητες του Τμήματος Διοίκησης Ανθρώπινου Δυναμικού Εποπτευομένων Φορέων,"αα) Η επιμέλεια θεμάτων που αφορούν την υπηρεσιακή κατάσταση και εξέλιξη του πάσης φύσεως προσωπικού των εποπτευομένων από το Υπουργείο υπηρεσιών, 
νομικών προσώπων, φορέων κοινωνικής αλληλεγγύης 
και κοινωνικής ασφάλισης, σύμφωνα με τις κείμενες διατάξεις. ββ) Η επεξεργασία και τήρηση στοιχείων για την 
αριθμητική σύνθεση και τις αριθμητικές μεταβολές του 
προσωπικού των εποπτευομένων από το Υπουργείο 
υπηρεσιών, νομικών προσώπων, φορέων κοινωνικής 
αλληλεγγύης και κοινωνικής ασφάλισης και η πρόβλεψη 
της αριθμητικής εξέλιξής του. γγ) Ο προγραμματισμός των αναγκών σε ανθρώπινο 
δυναμικό των εποπτευομένων από το Υπουργείο υπηρεσιών, νομικών προσώπων, φορέων κοινωνικής αλληλεγγύης και κοινωνικής ασφάλισης και η κατανομή του 
σε κλάδους, βαθμούς και ειδικότητες. δδ) Η συγκρότηση και λειτουργία των Συμβουλίων, Επιτροπών και Ομάδων Εργασίας των εποπτευομένων από 
το Υπουργείο υπηρεσιών, νομικών προσώπων, φορέων 
κοινωνικής αλληλεγγύης και κοινωνικής ασφάλισης. εε) Η έκδοση αποφάσεων διορισμού διοικητών, υποδιοικητών, προέδρων και οργάνων διοίκησης καθώς 
και ορισμού μελών Διοικητικών Συμβουλίων των εποπτευομένων από το Υπουργείο υπηρεσιών, νομικών 
προσώπων, φορέων κοινωνικής αλληλεγγύης, φορέων 
κοινωνικής ασφάλισης, της Εθνικής Αναλογιστικής Αρχής 
και της Η.ΔΙ.Κ.Α. Α.Ε. στστ) Η παροχή έγκρισης ανάθεσης εργασιών για θέματα αρμοδιότητας του τμήματος σε φορείς κοινωνικής 
ασφάλισης, όπου απαιτείται, σύμφωνα με τις κείμενες 
διατάξεις. ζζ) Η διαχείριση των αρχείων του προσωπικού των 
φορέων κοινωνικής φροντίδας που καταργήθηκαν με 
το N# 3106/2003 (Α’ 30)."
Άρθρο 11,Αρμοδιότητες του Τμήματος Οργάνωσης και Απλούστευσης Διαδικασιών ΥΠ,"αα) Ο χειρισμός θεμάτων οργάνωσης του Υπουργείου 
και του Σώματος Επιθεώρησης Εργασίας (Σ.ΕΠ.Ε) και η 
μελέτη και εισήγηση μέτρων ορθολογικής αναδιοργάνωσης και επιχειρησιακού ανασχεδιασμού της λειτουργίας 
τους, σε συνεργασία με τις κατά περίπτωση αρμόδιες 
υπηρεσίες. ββ) Η μέριμνα για την έκδοση αποφάσεων μεταβίβασης αρμοδιοτήτων του Υπουργού, Αναπληρωτή 
Υπουργού, Υφυπουργού προς Γενικούς Γραμματείς, Ειδικό Γραμματέα, προϊσταμένους Γενικών Διευθύνσεων, 
Διευθύνσεων και Τμημάτων. γγ) Η μέριμνα για την κατάρτιση, αξιολόγηση και ανασχεδιασμό περιγραμμάτων καθηκόντων και προσόντων 
των θέσεων εργασίας του Υπουργείου και του Σ.ΕΠ.Ε. δδ) Ο ανασχεδιασμός και η τυποποίηση σε συνεργασία 
με τις υπηρεσίες της Κεντρικής Υπηρεσίας του Υπουργείου των απαιτούμενων δικαιολογητικών και των διαδικασιών συναλλαγής των πολιτών απευθείας με αυτές 
αλλά και μέσω Κέντρων Εξυπηρέτησης Πολιτών (ΚΕΠ), 
όπου έχει προβλεφθεί. εε) Η μελέτη, η εισήγηση και η παρακολούθηση της 
εφαρμογής μέτρων για την απλούστευση γραφειοκρατικών τύπων και διαδικασιών και την κατάργηση περιττών 
διατυπώσεων. στστ) Η μέριμνα για την ανάπτυξη και εφαρμογή συγχρόνων τεχνικών και μεθόδων εργασίας για την αύξηση 
της παραγωγικότητας των υπαλλήλων του Υπουργείου 
και του Σ.ΕΠ.Ε. ζζ) Η μελέτη, εισήγηση και παρακολούθηση της εφαρμογής μέτρων για τη διευκόλυνση της επικοινωνίας των 
πολιτών με τις υπηρεσίες του Υπουργείου και το Σ.ΕΠ.Ε."
Άρθρο 11,Αρμοδιότητες του Τμήματος Οργάνωσης και Απλούστευσης Διαδικασιών Εποπτευόμενων Φορέων,"αα) Ο χειρισμός θεμάτων οργάνωσης των εποπτευομένων υπηρεσιών και νομικών προσώπων και η μελέτη 
και εισήγηση μέτρων ορθολογικής αναδιοργάνωσης και 
επιχειρησιακού ανασχεδιασμού της λειτουργίας τους, σε 
συνεργασία με τις κατά περίπτωση αρμόδιες υπηρεσίες. ββ) Η μέριμνα για την κατάρτιση, αξιολόγηση και ανασχεδιασμό περιγραμμάτων καθηκόντων και προσόντων 
των θέσεων εργασίας των εποπτευομένων υπηρεσιών 
και νομικών προσώπων. γγ) Ο ανασχεδιασμός και η τυποποίηση σε συνεργασία 
με τους εποπτευόμενους φορείς ως προς τα απαιτούμενα δικαιολογητικά και τις διαδικασίες συναλλαγής των 
πολιτών με τις υπηρεσίες των Ν.Π. εποπτείας του Υπουργείου και τα ΚΕΠ. δδ) Η μελέτη, η εισήγηση και η παρακολούθηση της 
εφαρμογής μέτρων για την απλούστευση γραφειοκρατικών τύπων και διαδικασιών και την κατάργηση περιττών 
διατυπώσεων. εε) Η μέριμνα για την ανάπτυξη και εφαρμογή συγχρόνων τεχνικών και μεθόδων εργασίας για την αύξηση της 
παραγωγικότητας των υπαλλήλων των εποπτευομένων 
νομικών προσώπων. στστ) Η μελέτη, εισήγηση και παρακολούθηση της 
εφαρμογής μέτρων για τη διευκόλυνση της επικοινωνίας των πολιτών με τις υπηρεσίες των εποπτευομένων 
νομικών προσώπων. ζζ) Η μέριμνα και η λήψη μέτρων για την απρόσκοπτη 
λειτουργία του Συμβουλίου Κοινωνικής Ασφάλειας και η 
γραμματειακή εξυπηρέτησή του. ηη) Ο συντονισμός για την κωδικοποίηση από τις αρμόδιες κατά περίπτωση υπηρεσίες των εποπτευόμενων 
νομικών προσώπων της νομοθεσίας και των διοικητικών 
οδηγιών. θθ) Η μέριμνα της λειτουργίας του Κέντρου Πιστοποίησης Αναπηρίας (ΚΕ.Π.Α.). ιι) Η παροχή έγκρισης ανάθεσης εργασιών για θέματα αρμοδιότητας του τμήματος σε φορείς κοινωνικής 
ασφάλισης, όπου απαιτείται, σύμφωνα με τις κείμενες 
διατάξεις."
Άρθρο 11,Αρμοδιότητες του Τμήματος Ποιότητας Αποδοτικότητας και Επιμόρφωσης Ανθρώπινου Δυναμικού,"αα) Η εφαρμογή συστημάτων στοχοθεσίας και μεθόδων μέτρησης της αποδοτικότητας και αποτελεσματικότητας των υπηρεσιών του Υπουργείου, του Σ.ΕΠ.Ε. και 
των εποπτευόμενων νομικών προσώπων, η αξιολόγηση 
των αποτελεσμάτων των μετρήσεων και η διατύπωση 
συγκεκριμένων προτάσεων για τη βελτίωση της λειτουργίας τους. ββ) Η εφαρμογή των αρχών της διοίκησης ολικής ποιότητας, ιδίως του Κοινού Πλαισίου Αξιολόγησης (Κ. Π. Α.) 
που παρέχει τη δυνατότητα στις Δημόσιες Οργανώσεις 
να χρησιμοποιήσουν τεχνικές διοίκησης ολικής ποιότητας με σκοπό τη βελτίωση της διοικητικής τους ικανότητας και των παρεχομένων υπηρεσιών προς τους πολίτες. γγ) Η μελέτη και η εισήγηση μέτρων προτυποποίησης 
των διοικητικών διαδικασιών βάσει σύγχρονων προτύπων ΙSΟ. δδ) Η ανίχνευση των εκπαιδευτικών αναγκών του 
προσωπικού του Υπουργείου και των εποπτευομένων 
νομικών προσώπων. εε) Η μέριμνα για την εισαγωγική εκπαίδευση και την 
δια βίου επαγγελματική κατάρτιση των υπαλλήλων 
του Υπουργείου, του Σώματος Επιθεώρησης Εργασίας 
(Σ.ΕΠ.Ε.) και των εποπτευόμενων από το Υπουργείο νομικών προσώπων, σε συνεργασία με τις κατά περίπτωση 
υπηρεσίες τους. στστ) Ο σχεδιασμός και η υλοποίηση προγραμμάτων 
ειδικής εκπαίδευσης Επιθεωρητών Εργασιακών Σχέσεων 
και Επιθεωρητών Ασφάλειας και Υγείας στην Εργασία 
σε συνεργασία με τις αρμόδιες Διευθύνσεις Προγραμματισμού και Συντονισμού Επιθεώρησης Εργασιακών 
Σχέσεων και Επιθεώρησης Ασφάλειας και Υγείας στην 
Εργασία αντίστοιχα. ζζ) Η κατάρτιση εκπαιδευτικού προγραμματισμού και 
απολογισμού. ηη) Η μέριμνα για τη λειτουργία της Κεντρικής Βιβλιοθήκης."
Άρθρο 11,Αρμοδιότητες του Τμήματος Γραμματείας,"αα) Η τήρηση γενικού και ηλεκτρονικού πρωτοκόλλου εισερχόμενης και εξερχόμενης αλληλογραφίας του 
Υπουργείου. ββ) Η βεβαίωση του γνησίου της υπογραφής και η 
επικύρωση αντιγράφων εγγράφων, όπως προβλέπεται 
στην παράγραφο 2γ του άρθρου 11 του N# 2690/1999 
(Α’45), όπως ισχύει. γγ) Η μέριμνα για τη λειτουργία του τηλεφωνικού κέντρου και λοιπών μέσων επικοινωνίας. δδ) Η υποστήριξη της ψηφιακής υπηρεσίας μιας στάσης με τίτλο «υποβολή ερωτήματος» του Συστήματος 
Ενιαίας Ψηφιακής Εξυπηρέτησης Αιτημάτων Πολιτών 
«ΑΠΛΟ»."
