Article,Unit,Value
Άρθρο 5,Τμήμα,"α) τη διαμόρφωση μεθοδολογικού και θεσμικού 
πλαισίου για τον εσωτερικό έλεγχο των υπηρεσιών του 
Υπουργείου και την καθοδήγηση τους για την ανάπτυξη 
συστημάτων διαχείρισης κινδύνων, β) την κατάρτιση προγράμματος εσωτερικών ελέγχων 
στις Υπηρεσίες του Υπουργείου, ετήσιου ή μεγαλύτερης 
διάρκειας, κατόπιν καθορισμού των ελεγκτέων περιοχών διαδικασιών, σε συνδυασμό με την αναγνώριση και αξιολόγηση των κινδύνων και λαμβανομένων υπόψη των 
στρατηγικών και επιχειρησιακών προτεραιοτήτων του 
Υπουργείου, συνεκτιμώντας πάσης φύσεως αναφορές, 
καταγγελίες, εκθέσεις και κάθε άλλο στοιχείο, τηρουμένων των εκάστοτε ισχυουσών διατάξεων περί προστασίας προσωπικών δεδομένων, γ) την έκδοση εντολών για την διενέργεια προγραμματισμένων και έκτακτων εσωτερικών ελέγχων, όπου 
αυτό απαιτείται, δ) τη διασφάλιση τήρησης των Διεθνών Προτύπων και 
των ορθών πρακτικών κατά την ελεγκτική διαδικασία, 
την επεξεργασία των στοιχείων των επί μέρους εκθέσεων εσωτερικού ελέγχου και τη σύνταξη ετήσιας ή/
και ενδιάμεσης έκθεσης, στις οποίες καταγράφονται οι 
δραστηριότητες και τα αποτελέσματα του εσωτερικού 
ελέγχου, ε) την υποβολή της έκθεσης εσωτερικού ελέγχου στον 
οικείο Υπουργό με κοινοποίηση στις Υπηρεσίες που 
έχουν αρμοδιότητα για το σχεδιασμό και τη λειτουργία 
του συστήματος που ελέγχθηκε και την τακτική παρακολούθηση, αξιολόγηση και επιβεβαίωση των διορθωτικών 
ή προληπτικών ενεργειών που πραγματοποιούνται από 
τις υπηρεσίες σε συμμόρφωση με τις προτάσεις του εσωτερικού ελέγχου, μέχρι την οριστική υλοποίησή τους,
 στ) την εισήγηση για την κατάρτιση ή αναθεώρηση 
του Κώδικα Δεοντολογίας Εσωτερικών Ελεγκτών και 
την εισήγηση για την τροποποίηση του, αν αυτό κριθεί 
αναγκαίο, ζ) τη μέριμνα για την εκπαίδευση και την επιμόρφωση 
των Εσωτερικών Ελεγκτών, σε συνεργασία με τις καθ΄ 
ύλην αρμόδιες υπηρεσίες του Υπουργείου, καθώς και 
την διερεύνηση και την πρόταση τρόπων ανάπτυξης των 
γνώσεων και των δεξιοτήτων τους, η) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τον σχεδιασμό διενέργειας προγραμματισμένων και 
έκτακτων εσωτερικών ελέγχων στο πλαίσιο του εγκεκριμένου προγράμματος ελεγκτικής δράσης ή κατόπιν 
λήψης της σχετικής εντολής κατά τα προβλεπόμενα, β) τη διενέργεια των ελέγχων στις λειτουργίες, διαδικασίες και δραστηριότητες, γενικά, των υπηρεσιών και 
των Φορέων του Υπουργείου κατά τα προαναφερόμενα, γ) την υλοποίηση του προγράμματος/επιχειρησιακού 
σχεδίου εσωτερικών ελέγχων, κατά το μέρος που αναλογεί στο Τμήμα, με βάση σχετικούς δείκτες προόδου και 
η σύνταξη των αντίστοιχων προσωρινών ή οριστικών 
εκθέσεων, καθώς και ενδιάμεσων εκθέσεων προόδου, 
όπου απαιτείται, δ) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 6,Τμήμα Κοινοβουλευτικού Ελέγχου Τμήμα Κοινοβουλευτικού Ελέγχου,"α) τον συντονισμό των οργανικών μονάδων και των 
εποπτευομένων φορέων του Υπουργείου για τη συλλογή 
στοιχείων και πληροφοριών σχετικά με όλα τα θέματα 
που αφορούν στα μέσα κοινοβουλευτικού ελέγχου και τη 
σύνταξη και προώθηση των σχετικών απαντήσεων που 
απαιτούνται κατά την άσκηση κοινοβουλευτικού ελέγχου,  β) τον χειρισμό κάθε άλλου συναφούς θέματος.
"
Άρθρο 7,Τμήμα Νομοθετικής Πρωτοβουλίας Τμήμα Νομοθετικής Πρωτοβουλίας,"α) τη συμμετοχή στο σχεδιασμό των νομοθετικών και 
κανονιστικών ρυθμίσεων αρμοδιότητας του Υπουργείου 
και την κατάρτιση των νομοσχεδίων που αναθέτει σε 
αυτό ο Υπουργός, β) την παροχή της αναγκαίας τεχνογνωσίας στις υπηρεσίες που αναλαμβάνουν την εκπόνηση ή την απλούστευση ρυθμίσεων, με σκοπό την τήρηση των αρχών 
καλής νομοθέτησης,
 γ) τη σύνταξη, σε συνεργασία με τις αρμόδιες υπηρεσίες, την Ανάλυση Συνεπειών Ρυθμίσεων του άρθρου 7 
Ν# 4048/2012, επισημαίνοντας ταυτόχρονα τις συναφείς 
νομοθετικές ή κανονιστικές ρυθμίσεις, δ) τη μέριμνα, σε συνεργασία με το Γραφείο Καλής 
Νομοθέτησης (βλ. N# 4048/2012 Ρυθμιστική Διακυβέρνηση: Αρχές, Διαδικασίες και Μέσα Καλής Νομοθέτησης, Α 34΄/23-2-2012 και το άρθρο 76 Α΄ του ΠΔ#. 63/2009, όπως τροποποιήθηκε με το άρθρο 77 του N#4368/2016, Α’ 21), για τη διενέργεια κοινωνικού διαλόγου και διαβουλεύσεων με εκπροσώπους των κοινωνικών φορέων και 
ενδιαφερόμενων ομάδων, ε) την επισήμανση των νομοθετικών και κανονιστικών 
ρυθμίσεων του Υπουργείου που χρήζουν απλούστευσης, 
αναμόρφωσης, κωδικοποίησης ή επικαιροποίησης, στ) τη συλλογή, ταξινόμηση και προώθηση στην Κεντρική Επιτροπή Κωδικοποίησης της Γενικής Γραμματείας της Κυβέρνησης του N# 3133/2003 κωδικοποιούμενων 
ρυθμίσεων ή ρυθμίσεων των νομικών πεδίων, στα οποία 
εντοπίζεται η ανάγκη αναμόρφωσης, ζ) τη σύνταξη, σε συνεργασία με τις αρμόδιες υπηρεσίες, της έκθεσης αξιολόγησης αποτελεσμάτων εφαρμογής των ρυθμίσεων του άρθρου 9 N# 4048/2012, η) τη συμμετοχή υποχρεωτικά στις νομοπαρασκευαστικές επιτροπές του Υπουργείου και την τήρηση ηλεκτρονικού αρχείου των τελικών προτάσεων των εν λόγω 
επιτροπών, θ) την ενσωμάτωση του δικαίου της Ένωσης στο εθνικό δίκαιο στους τομείς αρμοδιότητας του Υπουργείου, ι) τον χειρισμό κάθε άλλου συναφούς θέματος.
"
Άρθρο 8,Γραφείο Επιστημονικών Συμβούλων Γραφείο Επιστημονικών Συμβούλων,"α) την παρακολούθηση της υλοποίησης της εκπαιδευτικής πολιτικής, β) τον εκπαιδευτικό σχεδιασμό της Πρωτοβάθμιας και 
Δευτεροβάθμιας Εκπαίδευσης,  γ) την αξιολόγηση των δομών της Εκπαίδευσης και 
την παιδαγωγική αξιολόγηση του εκπαιδευτικού συστήματος, δ) την παρακολούθηση, μελέτη και αποτύπωση των 
εκπαιδευτικών συστημάτων σε Ευρωπαϊκό και Διεθνές 
επίπεδο, ε) την επιστημονική επεξεργασία των ετήσιων εκθέσεων των Διευθυντών Περιφερειών και των Σχολικών 
Συμβούλων Πρωτοβάθμιας και Δευτεροβάθμιας Εκπαίδευσης για τη λειτουργία των σχολείων των περιφερειών 
τους και την εξαγωγή συμπερασμάτων, στ) τη μελέτη του περιεχόμενου των σχολικών βιβλίων 
των Βαλκανικών χωρών,  ζ) τον χειρισμό κάθε άλλου συναφούς θέματος.
ΙV. ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΤΟΥ ΥΠΟΥΡΓΕΙΟΥ 
Α. ΓΕΝΙΚΕΣ ΔΙΕΥΘΥΝΣΕΙΣ
"
Άρθρο 10,##Διεύθυνση Στρατηγικού Σχεδιασμού και Συντονισμού,"β) τη διερεύνηση συστημάτων στοχοθεσίας και μεθόδων μέτρησης:  αα) της αποδοτικότητας και αποτελεσματικότητας των 
υπηρεσιών και του προσωπικού του Υπουργείου,  ββ) της αξιολόγησης των αποτελεσμάτων των μετρήσεων και τη διατύπωση συγκεκριμένων προτάσεων βελτίωσης της λειτουργίας των υπηρεσιών, σε συνεργασία 
με τους αρμόδιους φορείς, γ) τη διεξαγωγή ερευνών αποδοτικότητας των υπηρεσιών του Υπουργείου και τη διατύπωση συγκεκριμένων 
προτάσεων για τη βελτίωση της λειτουργίας τους προς 
όφελος του πολίτη, δ) τον συντονισμό των στόχων και τον καθορισμό των 
δεικτών αξιολόγησης των υπηρεσιών του Υπουργείου, 
καθώς και την παρακολούθηση και αξιολόγηση των δράσεων και των πολιτικών,
 ε) τον καθορισμό των δεικτών μέτρησης αποδοτικότητας, αποτελεσματικότητας και ποιότητας, σύμφωνα 
με τις διατάξεις του N# 3230/2004, στ) την καθιέρωση συστημάτων διοίκησης ολικής ποιότητας (Κοινό Πλαίσιο Αξιολόγησης στις διοικητικές και εκπαιδευτικές δομές, διαδικασίες πιστοποίησης βάσει ΙSΟ), καθώς και για τον καθορισμό ενός πλαισίου αυτοαξιολόγησης, ζ) τη διερεύνηση μεθόδων συγκριτικής αξιολόγησης 
των υπηρεσιών του Υπουργείου και των υπηρεσιών των 
εποπτευόμενων φορέων, η) τον σχεδιασμό, την παρακολούθηση και την αξιολόγηση των δράσεων του Υπουργείου σε όλες τις βαθμίδες 
εκπαίδευσης, θ) τη συνεργασία με άλλα κέντρα τεκμηρίωσης, αποδοτικότητας και αποτελεσματικότητας σε εθνικό και 
διεθνές επίπεδο, ι) τον εντοπισμό των καλύτερων πρακτικών και την 
εφαρμογή τους σε άλλες υπηρεσίες, ια) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τη συλλογή, την επεξεργασία και την ερμηνεία των 
δεδομένων των δράσεων και των προγραμμάτων του 
Υπουργείου, β) τις μετρήσεις των αποτελεσμάτων: αα) των δεικτών,  ββ) των αυτοαξιολογήσεων και γγ) του Κοινού Πλαισίου 
Αξιολόγησης των δομών του Υπουργείου και των εποπτευόμενων φορέων του, γ) την εισήγηση για τη βράβευση των υπηρεσιών που 
διακρίνονται για την αποδοτικότητα και την αποτελεσματικότητά τους, σε συνεργασία με τους αρμόδιους 
φορείς σε εθνικό και ευρωπαϊκό επίπεδο, δ) τη συγκέντρωση όλων των στατιστικών εργασιών 
του Υπουργείου,  ε) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 10,Τμήμα,"α) τον χειρισμό όλων των θεμάτων οργάνωσης και 
απλούστευσης των διαδικασιών των υπηρεσιών του 
Υπουργείου και των εποπτευόμενων φορέων του, σε 
συνεργασία με τους αρμόδιους φορείς, με στόχο την 
ταχύτερη διεκπεραίωση των διοικητικών ενεργειών, β) την ανάπτυξη και εφαρμογή σύγχρονων τεχνικών 
και μεθόδων εργασίας για την αύξηση της παραγωγικότητας των υπαλλήλων, γ) τη μελέτη των χρησιμοποιούμενων εντύπων δικαιολογητικών, που κατά περίπτωση απαιτούνται να υποβάλλουν οι συναλλασσόμενοι και την εισήγηση για τη 
βελτίωση και τυποποίησή τους, δ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τον σχεδιασμό και την εποπτεία εφαρμογής των 
πολιτικών Νέας Γενιάς και Διά Βίου Μάθησης, β) την κατάρτιση, την εφαρμογή και την αξιολόγηση 
του Εθνικού Προγράμματος Νέας Γενιάς και Διά Βίου Μάθησης και των προγραμμάτων εφαρμογής του, γ) τη σύνταξη συνολικής ετήσιας έκθεσης για τη Νέα 
Γενιά και Διά Βίου Μάθηση στην Ελλάδα, δ) την ανάθεση μελετών για την προώθηση καινοτομιών με στόχο την αναβάθμιση της ποιότητας και της 
αποτελεσματικότητας των δράσεων Νέας Γενιάς και Διά 
Βίου Μάθησης, ε) τη διενέργεια μελετών, ερευνών, στατιστικών και 
συγκριτικών αναλύσεων των θεμάτων που αφορούν στη 
Νέα Γενιά και Διά Βίου Μάθηση, στ) την υλοποίηση του Προγράμματος «Ιστορικό Αρχείο της Ελληνικής Νεολαίας»,  ζ) τη διευκόλυνση της κινητικότητας των νέων για εκπαιδευτικούς λόγους, η) τον διαπολιτισμικό διάλογο προς όφελος των νέων, θ) τη λήψη των αναγκαίων μέτρων για την εναρμόνιση της ελληνικής νομοθεσίας σε θέματα νεολαίας με το 
ευρωπαϊκό και διεθνές δίκαιο και την παρακολούθηση 
της σύναψης και υλοποίησης συμφωνιών, ι) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την κατάρτιση, την τήρηση, την αναμόρφωση, την 
προσαρμογή και την υλοποίηση των σχεδίων προστασίας, κινητοποίησης και δράσης των πολιτικών δυνάμεων 
του Υπουργείου σε καιρό πολέμου ή έκτακτης ανάγκης 
(πολιτική άμυνα), β) την πολιτική επιστράτευση προσωπικού, τη δέσμευση και την επίταξη υλικών και μέσων, γ) την εκπαίδευση και την εξουσιοδότηση για τη διαβάθμιση του προσωπικού της κεντρικής υπηρεσίας και 
των περιφερειακών υπηρεσιών σε θέματα πολιτικής σχεδίασης έκτακτης ανάγκης (πολιτική άμυνα), δ) τον έλεγχο και την παρακολούθηση της οργάνωσης 
της πολιτικής άμυνας των εποπτευόμενων δημοσίων 
ανεξάρτητων ιδρυμάτων της Περιφέρειας Αττικής, ε) την παρακολούθηση και την τήρηση του Εθνικού 
Κανονισμού Ασφαλείας στο Υπουργείο και σε εποπτευόμενους φορείς, στ) την τήρηση και την επίβλεψη της ασφάλειας και 
των υποδομών του Υπαρχείου ΕΤΝΑ του Υπουργείου, ζ) την παρακολούθηση και τον έλεγχο των συστημάτων και των μέτρων συναγερμού του Υπουργείου, η) τα θέματα Πολιτικής Άμυνας, όπως αυτά καθορίζονται από τα Γενικά και τα Ειδικά Εθνικά Σχέδια, θ) την ενημέρωση και την εκπαίδευση των μαθητών 
πρωτοβάθμιας και δευτεροβάθμιας εκπαίδευσης σε 
θέματα αυτοπροστασίας από κινδύνους καταστροφικών φαινομένων, σε συνεργασία με την αρμόδια Γενική 
Διεύθυνση, ι) τη λειτουργία των σχολείων και των ΑΕΙ, σε περίπτωση βλάβης των οικείων κτιρίων από καταστροφικά 
φαινόμενα, ια) την κατάρτιση μνημονίων με αρμόδιους φορείς και 
υπηρεσίες με αντικείμενο τις ενέργειες για την εκκένωση των εποπτευόμενων κατασκηνώσεων, σε περίπτωση 
κινδύνου από καταστροφικά φαινόμενα, ιβ) τα θέματα πολιτικής προστασίας, όπως αυτά καθορίζονται από τα γενικά και τα ειδικά εθνικά σχέδια, ιγ) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 11,Τμήμα,"α) την ανάπτυξη, τη λειτουργία και την επέκταση των 
Πληροφοριακών Συστημάτων που αφορούν στο διορισμό των μονίμων εκπαιδευτικών στα σχολεία της Πρωτοβάθμιας και της Δευτεροβάθμιας Εκπαίδευσης, β) την ανάπτυξη, τη λειτουργία και την επέκταση των 
Πληροφοριακών Συστημάτων που αφορούν στην πρόσληψη των αναπληρωτών και του λοιπού προσωπικού 
στα σχολεία της Πρωτοβάθμιας και της Δευτεροβάθμιας 
Εκπαίδευσης, γ) την εξαγωγή δεδομένων και στατιστικών στοιχείων 
από τις βάσεις δεδομένων,  δ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την ανάπτυξη, τη λειτουργία και την επέκταση των 
Πληροφοριακών Συστημάτων που αφορούν στην υπηρεσιακή κατάσταση και εξέλιξη του μόνιμου εκπαιδευτικού και του λοιπού προσωπικού της Πρωτοβάθμιας και 
της Δευτεροβάθμιας Εκπαίδευσης, β) την ανάπτυξη, τη λειτουργία και την επέκταση των 
Πληροφοριακών Συστημάτων που αφορούν στην κινητικότητα του μόνιμου εκπαιδευτικού και του λοιπού 
προσωπικού της Πρωτοβάθμιας και της Δευτεροβάθμιας 
Εκπαίδευσης, γ) την εξαγωγή δεδομένων και στατιστικών στοιχείων 
από τις βάσεις δεδομένων,  δ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την εποπτεία, την παρακολούθηση και τον συντονισμό των εργασιών των Φορέων που υλοποιούν, διαχειρίζονται και λειτουργούν τα δίκτυα και Πληροφοριακά 
Συστήματα που αφορούν στην Ανώτατη Εκπαίδευση, β) την ανάπτυξη και τη λειτουργία των Πληροφοριακών Συστημάτων Ανώτατης Εκπαίδευσης, γ) την εκπόνηση μελετών για την απλούστευση των 
διαδικασιών που αφορούν στην Ανώτατη Εκπαίδευση, δ) τη δημιουργία, την οργάνωση και τη συντήρηση 
των βάσεων δεδομένων που αφορούν σε ιδρύματα, φορείς, προσωπικό, φοιτητές/σπουδαστές της Ανώτατης 
Εκπαίδευσης, ε) την ανάπτυξη Πληροφοριακών Συστημάτων που 
αφορούν σε διαδικασίες του προσωπικού της Ανώτατης 
Εκπαίδευσης και των φοιτητών/σπουδαστών, στ) τη συντήρηση και την επέκταση Πληροφοριακών 
Συστημάτων εφαρμογών και δικτυακών πυλών στην 
Ανώτατη Εκπαίδευση, ζ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τη σχεδίαση και την ανάπτυξη των Πληροφοριακών 
Συστημάτων και εφαρμογών του Υπουργείου, β) την αναβάθμιση και επέκταση παλαιότερων εφαρμογών και τη μετατροπή τους σε νέες σύμφωνα με τις 
σύγχρονες προδιαγραφές ανάπτυξης, ασφάλειας και 
λειτουργίας,  γ) την ενοποίηση υπολογιστικών συστημάτων με σκοπό την εξάλειψη καταχώρισης και συντήρησης στοιχείων 
σε πολλαπλά υπολογιστικά συστήματα, δ) την εξασφάλιση της ποιότητας και της αξιοπιστίας 
των μεθόδων και των λογισμικών που αναπτύσσει, ε) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τη διαχείριση, την ανάπτυξη και τη λειτουργία των 
Πληροφοριακών Συστημάτων για την προετοιμασία και 
τη δημιουργία αρχείου Εξετάσεων μαθητών Δευτεροβάθμιας Εκπαίδευσης και αποφοίτων, τέκνων Ελλήνων 
εξωτερικού, αλλοδαπών, αθλητών και λοιπών κατηγοριών σε συνεργασία με τη Διεύθυνση Εξετάσεων και 
Πιστοποιήσεων, β) την ανάπτυξη και τη λειτουργία Πληροφοριακών 
Συστημάτων για τη συγκέντρωση και την επεξεργασία 
των βαθμολογιών και των αιτήσεων προτιμήσεων των 
υποψηφίων, γ) την έκδοση των αποτελεσμάτων εισαγωγής σε Ιδρύματα της Ανώτατης Εκπαίδευσης, δ) τη δημιουργία και την οργάνωση βάσεων δεδομένων υποψηφίων για την πιστοποίηση ξένης γλώσσας, 
γνώσης Η/Υ, δεξιοτήτων και την έκδοση των σχετικών 
αποτελεσμάτων, ε) την εξασφάλιση της ποιότητας και της αξιοπιστίας 
των οικείων λογισμικών, στ) την εισήγηση προτάσεων για την απλούστευση 
των διαδικασιών που αφορούν στη διεξαγωγή Εξετάσεων, ζ) την επεξεργασία των στατιστικών αποτελεσμάτων 
που εξάγονται από τις βάσεις δεδομένων της Διεύθυνσης 
και αφορούν σε Εξετάσεις,
 η) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την ανάπτυξη και τη διαχείριση της κεντρικής ιστοσελίδας του Υπουργείου, β) την ανάπτυξη και τη διαχείριση των ιστοσελίδων 
των Γενικών Γραμματειών του Υπουργείου, γ) την ανάπτυξη, τη διαχείριση και την εποπτεία των 
ιστοσελίδων των εποπτευόμενων Φορέων, δ) την ενημέρωση των πολιτών δια ζώσης, ε) την τηλεφωνική επικοινωνία με το κοινό, τους εκπαιδευτικούς φορείς και τους εποπτευόμενους οργανισμούς του Υπουργείου, στ) την οργάνωση και τη λειτουργία των μεθόδων ηλεκτρονικής ενημέρωσης των πολιτών, ζ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τη συνεργασία με τα άλλα Υπουργεία και τους εποπτευόμενους φορείς του δημοσίου με σκοπό τον καθορισμό και την εποπτεία της διαλειτουργικότητας μεταξύ 
των οικείων πληροφοριακών συστημάτων, β) τη συνεργασία με τις Υπηρεσίες του Υπουργείου 
και τους εποπτευόμενους φορείς που παράγουν πληροφοριακά συστήματα, προκειμένου να ορίσει και να 
εποπτεύσει τη διαλειτουργικότητα μεταξύ των οικείων 
Πληροφοριακών Συστημάτων,
 γ) τη διερεύνηση, τη μελέτη και την εφαρμογή της 
ψηφιακής σύγκλισης των Υπηρεσιών του Υπουργείου, δ) την ενσωμάτωση των νέων τεχνολογιών στις υπηρεσίες του Υπουργείου, ε) τη συλλογή προτάσεων από τις Γενικές Γραμματείες 
του Υπουργείου για την υλοποίηση έργων που αφορούν 
στην ανάπτυξη και τη συντήρηση πληροφοριακών συστημάτων και εφαρμογών στα πλαίσια του εκσυγχρονισμού των υπηρεσιών του Υπουργείου, στ) τη διεκπεραίωση, την αρχειοθέτηση και τη διακίνηση των εντύπων και των ηλεκτρονικών εγγράφων των 
Τμημάτων της Διεύθυνσης, καθώς και την παρακολούθηση και τη διακίνηση της έντυπης και της ηλεκτρονικής 
αλληλογραφίας και του ηλεκτρονικού πρωτοκόλλου, ζ) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 11,Τμήμα Στ,"α) τη διαχείριση και την ανάπτυξη Πληροφοριακών 
Συστημάτων και εφαρμογών που σχετίζονται με την 
Επαγγελματική Κατάρτιση είτε σε δημόσιες είτε σε ιδιωτικές δομές, β) τη διαχείριση και την ανάπτυξη Πληροφοριακών 
Συστημάτων και εφαρμογών που σχετίζονται με την 
Εκπαίδευση Ενηλίκων, γ) την ανάπτυξη και τη λειτουργία Πληροφοριακών 
Συστημάτων και εφαρμογών που αφορούν στο ανθρώπινο δυναμικό (διοικητικό και εκπαιδευτικό) της Γενικής 
Γραμματείας Νέας Γενιάς και Διά Βίου Μάθησης, δ) την ανάπτυξη και λειτουργία Πληροφοριακών Συστημάτων και εφαρμογών που σχετίζονται με τις Εξετάσεις Ελληνομάθειας, ε) τον σχεδιασμό και την ανάπτυξη Πληροφοριακών 
Συστημάτων και εφαρμογών που αφορούν στα Κέντρα 
Μεταλυκειακής Εκπαίδευσης/Κολλέγια (μητρώο αδειοδοτήσεων, μητρώο διδασκόντων κ) τ.λ.), στ) τη διαχείριση και την ανάπτυξη Πληροφοριακών 
Συστημάτων και εφαρμογών της Γενικής Γραμματείας 
Νέας Γενιάς και Διά Βίου Μάθησης, ζ) την εποπτεία και την παρακολούθηση των εργασιών 
των φορέων που υλοποιούν και διαχειρίζονται Πληροφοριακά Συστήματα της Γενικής Γραμματείας Έρευνας 
και Τεχνολογίας, η) την εξασφάλιση της ποιότητας και της αξιοπιστίας 
των οικείων λογισμικών,  θ) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 12,Τμήμα,"α) την ανάπτυξη, τη διαχείριση και τη συντήρηση των 
κεντρικών υπολογιστικών συστημάτων (software) του 
Υπουργείου, β) τη συντήρηση και τη λειτουργία του υλικού 
(hardware) των κεντρικών εξυπηρετητών του Υπουργείου, γ) τη σύνταξη τεχνικών προδιαγραφών του υλικού 
(hardware) και του λογισμικού (software) των κεντρικών 
υπολογιστικών συστημάτων του Υπουργείου, δ) τη διαχείριση και τη λειτουργία της υπολογιστικής 
δομής «νέφους» (cloud infrastructure) του Υπουργείου, ε) τη διαχείριση και τη λειτουργία της υποδομής λήψης 
αντιγράφων ασφάλειας (Βack-up), ζ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την εγκατάσταση, τη λειτουργία, τη συντήρηση και 
την τεχνική υποστήριξη των τηλεπικοινωνιακών συσκευών και συστημάτων του Υπουργείου, β) την εγκατάσταση, τη λειτουργία, τη συντήρηση και 
την τεχνική υποστήριξη των υποδομών του δικτύου και 
του δικτυακού εξοπλισμού του Υπουργείου, γ) τη διασύνδεση του Υπουργείου με άλλα δίκτυα του 
δημοσίου ή του ιδιωτικού τομέα, δ) τη δικτυακή σύνδεση με τις Περιφέρειες, τις Διευθύνσεις και τις σχολικές μονάδες στην Ελλάδα και το εξωτερικό μέσω του Πανελλήνιου Σχολικού Δικτύου (Π.Σ.Δ.), ε) τον χειρισμό κάθε άλλου συναφούς θέματος. α) την παροχή τεχνικής υποστήριξης στους υπαλλήλους του Υπουργείου, β) την εγκατάσταση εφαρμογών και νέων τεχνολογιών 
στις υπηρεσίες του Υπουργείου, γ) την παροχή ενημέρωσης και εκπαίδευσης στους 
χρήστες των υπολογιστών του Υπουργείου σε θέματα 
εφαρμογών, νέων τεχνολογιών, πληροφορικής και αυτοματισμού γραφείου, δ) τη διαχείριση, τη διακίνηση και τη συντήρηση των 
υπολογιστών και των περιφερειακών συσκευών (π.χ. εκτυπωτών, σαρωτών) των χρηστών του Υπουργείου,  ε) τη διαχείριση και τη λειτουργία του κεντρικού διακομιστή αποθήκευσης κοινόχρηστων αρχείων (fileserver) 
του Υπουργείου, στ) τον χειρισμό κάθε άλλου συναφούς θέματος."
Άρθρο 12,##Διεύθυνση Ηλεκτρονικών και Δικτυακών Συστημάτων,"α) την τήρηση των διαδικασιών ασφαλείας για την 
προστασία αα) των δεδομένων, ββ) των υπολογιστικών 
συστημάτων και γγ) του δικτύου, β) την εφαρμογή και την αναθεώρηση του κανονισμού 
ασφάλειας των ηλεκτρονικών υπηρεσιών του Υπουργείου, γ) τη σύνταξη εγκυκλίων με οδηγίες υποχρεωτικής 
εφαρμογής σε θέματα που αφορούν στην ασφάλεια των 
πληροφοριακών συστημάτων του Υπουργείου, ε) τη συμμετοχή σε ασκήσεις κυβερνο-άμυνας (cyber security) που διοργανώνονται είτε σε εθνικό είτε σε διεθνές επίπεδο, από διεθνείς οργανισμούς, από όργανα ή 
υπηρεσίες της Ευρωπαϊκής Ένωσης ή άλλα κράτη, στ) την εκπαίδευση των διαχειριστών συστημάτων 
και εφαρμογών και των χρηστών των πληροφοριακών 
συστημάτων σε θέματα ασφάλειας, καθώς και τη συμβουλευτική υποστήριξη των υπαλλήλων του Υπουργείου 
σε θέματα ασφάλειας, ζ) τον χειρισμό κάθε άλλου συναφούς θέματος. α) τη διαχείριση: αα) του πληροφοριακού συστήματος 
της ασφαλούς μετάδοσης των θεμάτων εξετάσεων και 
άλλων εγγράφων, ββ) του πληροφοριακού συστήματος 
ηλεκτρονικής διακίνησης εγγράφων, γγ) του πληροφοριακού συστήματος της ηλεκτρονικής αλληλογραφίας 
και του ηλεκτρονικού πρωτοκόλλου, δδ) των ψηφιακών 
υπογραφών, β) την εισήγηση για την εκχώρηση δικαιώματος ψηφιακής υπογραφής σε άλλες μονάδες του Υπουργείου, γ) τον χειρισμό κάθε άλλου συναφούς θέματος."
