Article,Unit,Value
Άρθρο 6,Στο Τμήμα Ευρωπαϊκών και Διεθνών Υποθέσεων Περιβάλλοντος,"αα) η παρακολούθηση των ευρωπαϊκών θεμάτων περιβάλλοντος, κλιματικής αλλαγής, υδάτων, προστασίας 
δασών, χωροταξικού και πολεοδομικού σχεδιασμού στο 
πλαίσιο των εργασιών του Συμβουλίου της Ευρωπαϊκής 
Ένωσης και ο συντονισμός της διαμόρφωσης των εθνικών θέσεων σε συνεργασία με τις αρμόδιες διευθύνσεις 
του υπουργείου και τους εκάστοτε συναρμόδιους φορείς, ββ) η παρακολούθηση των πολιτικών σε θέματα περιβάλλοντος, κλιματικής αλλαγής, υδάτων, προστασίας 
δασών, χωροταξικού και πολεοδομικού σχεδιασμού σε 
διεθνείς οργανισμούς και η μέριμνα εκπλήρωσης όλων 
των σχετικών υποχρεώσεων της χώρας συμπεριλαμβανομένης της σύνταξης σχεδίων νόμων για την κύρωση 
Διεθνών Συμβάσεων και Πρωτοκόλλων, σε συνεργασία 
με τις αρμόδιες διευθύνσεις του υπουργείου και τους 
εκάστοτε συναρμόδιους φορείς, γγ) η διενέργεια όλων των απαραίτητων διαδικασιών 
για την καταβολή επιχορηγήσεων, εισφορών και συνδρομών σε διεθνείς οργανισμούς και κοινότητες του 
εξωτερικού στο πλαίσιο εκπλήρωσης των διεθνών υποχρεώσεων της χώρας και η διαβίβαση των απαιτούμενων 
δικαιολογητικών αυτών στη Διεύθυνση Οικονομικής Διαχείρισης για εκκαθάριση και πληρωμή, δδ) η παρακολούθηση καταγγελιών της Ευρωπαϊκής 
Ένωσης (Ε.Ε.) για ελλιπή εναρμόνιση και εφαρμογή της 
ενωσιακής νομοθεσίας."
Άρθρο 6,Στο Τμήμα Ευρωπαϊκών και Διεθνών Υποθέσεων Ενέργειας και Ορυκτών Πρώτων Υλών,"αα) Η παρακολούθηση των ευρωπαϊκών θεμάτων 
ενέργειας και ορυκτών πρώτων υλών στο πλαίσιο των 
εργασιών του Συμβουλίου της Ευρωπαϊκής Ένωσης και ο 
συντονισμός της διαμόρφωσης των εθνικών θέσεων σε 
συνεργασία με τις αρμόδιες διευθύνσεις του Υπουργείου 
και τους εκάστοτε συναρμόδιους φορείς, ββ) η παρακολούθηση των πολιτικών σε θέματα 
ενέργειας και ορυκτών πρώτων υλών σε διεθνείς οργανισμούς και η μέριμνα εκπλήρωσης όλων των σχετικών υποχρεώσεων της χώρας συμπεριλαμβανομένης 
της σύνταξης σχεδίων νόμων για την κύρωση Διεθνών 
Συμβάσεων και πρωτοκόλλων, σε συνεργασία με τις αρμόδιες διευθύνσεις του υπουργείου και τους εκάστοτε 
συναρμόδιους φορείς, γγ) η διενέργεια όλων των απαραίτητων διαδικασιών 
για την καταβολή επιχορηγήσεων, εισφορών και συνδρομών σε διεθνείς οργανισμούς και κοινότητες του 
εξωτερικού στο πλαίσιο εκπλήρωσης των διεθνών υποχρεώσεων της χώρας και η διαβίβαση των απαιτούμενων 
δικαιολογητικών αυτών στη Διεύθυνση Οικονομικής Διαχείρισης για εκκαθάριση και πληρωμή, δδ) η παρακολούθηση καταγγελιών της Ε.Ε. για ελλιπή 
εναρμόνιση και εφαρμογή της ενωσιακής νομοθεσίας."
Άρθρο 10,Στο Τμήμα Διοίκησης Ανθρώπινου Δυναμικού,"αα) η στελέχωση των υπηρεσιών του Υπουργείου, 
συμπεριλαμβανομένων των πολιτικών γραφείων του 
Υπουργείου καθώς και των Γραφείων Γενικών και Ειδικών Γραμματέων του Υπουργείου, ββ) η τήρηση αρχείου και ηλεκτρονικής βάσης με τα 
στοιχεία του υπηρετούντος ανθρώπινου δυναμικού του 
Υπουργείου, γγ) ο χειρισμός όλων των θεμάτων υπηρεσιακής κατάστασης και πειθαρχικού ελέγχου του υπηρετούντος 
ανθρώπινου δυναμικού του Υπουργείου,  δδ) η αναγνώριση προϋπηρεσίας του ανθρώπινου 
δυναμικού του Υπουργείου, εε) οι διαδικαστικές ενέργειες για την επιλογή και τοποθέτηση των Προϊσταμένων των οργανικών μονάδων 
του Υπουργείου."
Άρθρο 10,Στο Τμήμα Οργάνωσης Ποιότητας και Αποδοτικότητας,"αα) ο χειρισμός θεμάτων οργάνωσης των υπηρεσιών 
του Υπουργείου και η μελέτη και εισήγηση μέτρων ορθολογικής οργάνωσης, διάρθρωσης και λειτουργίας των 
υπηρεσιών του Υπουργείου, σε συνεργασία με τις κατά 
περίπτωση αρμόδιες υπηρεσίες, ββ) η επεξεργασία των στοιχείων της τηρούμενης βάσης δεδομένων ανθρώπινου δυναμικού του Υπουργείου 
για την αριθμητική σύνθεση και τις αριθμητικές μεταβολές του προσωπικού του Υπουργείου και ο προγραμματισμός των αναγκών σε ανθρώπινο δυναμικό σε συνεργασία με το Τμήμα Διοίκησης Ανθρώπινου Δυναμικού,  γγ) ο χειρισμός θεμάτων υπηρεσιακής κατάστασης και 
μεταβολών του υπηρετούντος προσωπικού των φορέων 
που υπάγονται στο Υπουργείο, δδ) o ορισμός των οργάνων διοίκησης των Ανεξάρτητων Αρχών, των Νομικών Προσώπων και των Ανώνυμων Εταιρειών που εποπτεύονται από το Υπουργείο 
και η άσκηση διοικητικής εποπτείας των φορέων που 
υπάγονται στο Υπουργείο κατά τις εκάστοτε ισχύουσες 
διατάξεις στο πλαίσιο των αρμοδιοτήτων του τμήματος, εε) η ανίχνευση εκπαιδευτικών αναγκών του προσωπικού του Υπουργείου σε συνεργασία με φορείς πιστοποιημένης επιμόρφωσης και ο χειρισμός θεμάτων για την 
πρακτική άσκηση στο Υπουργείο σπουδαστών ΤΕΙ και ΑΕΙ,  στστ) ο χειρισμός θεμάτων σχετικά με τις δηλώσεις 
περιουσιακής κατάστασης του προσωπικού των φορέων 
που υπάγονται στο Υπουργείο και αποστολή αυτών στο 
αρμόδιο όργανο για έλεγχο, ζζ) η μέριμνα για την κατάρτιση, αξιολόγηση και ανασχεδίαση περιγραμμάτων καθηκόντων και προσόντων 
των θέσεων εργασίας, η επεξεργασία στοιχείων για την 
εκτίμηση των αναγκών του Υπουργείου και των εποπτευόμενων νομικών προσώπων και ανεξαρτήτων αρχών σε 
θέσεις προσωπικού, ηη) η μελέτη, η εισήγηση και η παρακολούθηση της 
εφαρμογής μέτρων για την απλούστευση γραφειοκρατικών τύπων και διαδικασιών και την κατάργηση περιττών 
διατυπώσεων, θθ) η μέριμνα για την ανάπτυξη και εφαρμογή συγχρόνων τεχνικών και μεθόδων εργασίας για την αύξηση 
της παραγωγικότητας των υπαλλήλων του Υπουργείου, ιι) η εφαρμογή συστημάτων στοχοθεσίας και μεθόδων 
μέτρησης της αποδοτικότητας και αποτελεσματικότητας, η αξιολόγηση των αποτελεσμάτων των μετρήσεων 
και η διατύπωση συγκεκριμένων προτάσεων για τη βελτίωση της λειτουργίας των υπηρεσιών του Υπουργείου, ιαια) η εφαρμογή των αρχών της Διοίκησης Ολικής 
Ποιότητας, ιδίως του Κοινού Πλαισίου Αξιολόγησης και 
η μελέτη και εισήγηση μέτρων προτυποποίησης των διοικητικών διαδικασιών, βάσει σύγχρονων προτύπων ΙSΟ, ιβιβ) ο συντονισμός των εργασιών για τη σύνταξη του 
Οργανισμού του Υπουργείου και η ανάληψη δράσεων 
που αφορούν στην τροποποίηση και προσαρμογή του 
στις νέες απαιτήσεις, ιγιγ) η συγκρότηση των προβλεπόμενων συλλογικών 
οργάνων, ομάδων εργασίας και επιτροπών του Υπουργείου και ο ορισμός εκπροσώπων του Υπουργείου σε 
συλλογικά όργανα, ομάδες εργασίας και επιτροπές άλλων Υπουργείων και φορέων."
Άρθρο 10,Στο Τμήμα Μητρώου και Υποστήριξης,"αα) η τήρηση και ενημέρωση των προσωπικών μητρώων των υπαλλήλων του υπουργείου,  ββ) η έκδοση κάθε είδους βεβαιώσεων, πιστοποιητικών, πράξεων και στοιχείων που δύναται να χορηγηθούν 
με βάση τις αρμοδιότητες και τα τηρούμενα αρχεία του 
Τμήματος,  γγ) η ηλεκτρονική συμπλήρωση Δελτίου Ατομικής 
Υπηρεσιακής Κατάστασης Υπαλλήλου (Δ.Α.Υ.Κ.), ο προέλεγχος και η διαβίβαση στις Διευθύνσεις Συντάξεων 
των δικαιολογητικών συνταξιοδότησης των υπαλλήλων, 
κατά το μέρος των αρμοδιοτήτων του τμήματος και χειρισμός κάθε συναφούς θέματος, δδ) η χορήγηση άδειας άσκησης ιδιωτικού έργου με 
αμοιβή, εε) η χορήγηση πάσης φύσεως αδειών και χειρισμός 
κάθε συναφούς θέματος σχετικά με τις παρουσίες των 
υπαλλήλων, στστ) η συγκέντρωση των εκθέσεων αξιολόγησης και 
των ενστάσεων των υπαλλήλων του Υπουργείου επί αυτών και μέριμνα για την εξέτασή τους αρμοδίως καθώς 
και χειρισμός κάθε συναφούς θέματος,  ζζ) ο χειρισμός θεμάτων σχετικά με τις δηλώσεις περιουσιακής κατάστασης του προσωπικού του Υπουργείου 
και αποστολή αυτών στο αρμόδιο όργανο για έλεγχο,  ηη) η μέριμνα για την έκδοση αποφάσεων μετακίνησης εντός και εκτός επικράτειας της πολιτικής ηγεσίας και 
των υπηρετούντων στα γραφεία αυτής, καθώς και των 
υπαλλήλων με οποιαδήποτε σχέση εργασίας, θθ) η διεκπεραίωση της αλληλογραφίας, η επικύρωση 
όλων των εξερχομένων εγγράφων και η παρακολούθηση 
της προς δημοσίευση ύλης στην Εφημερίδα της Κυβερνήσεως,  ιι) η βεβαίωση του γνησίου της υπογραφής και η επικύρωση αντιγράφων εγγράφων, σύμφωνα με τις διατάξεις 
του άρθρου 1 του N# 4250/2014 (Α΄74), ιαια) ο χειρισμός των λοιπών θεμάτων που αφορούν 
το προσωπικό και δεν ανήκουν στις αρμοδιότητες άλλου 
Τμήματος της Διεύθυνσης."
Άρθρο 14,Στο Τμήμα Τακτικού Προϋπολογισμού και Μεσοπρόθεσμου Πλαισίου Δημοσιονομικής Στρατηγικής,"αα) ο σχεδιασμός και η συγκέντρωση στοιχείων για 
την κατάρτιση ή τροποποίηση και την παρακολούθηση 
εκτέλεσης του τακτικού προϋπολογισμού εξόδων του 
Υπουργείου εντός των εγκεκριμένων πιστώσεων και 
ποσοστών διάθεσης,  ββ) ο σχεδιασμός, η κατάρτιση, η τροποποίηση και 
η εκτέλεση του Μεσοπρόθεσμου Πλαισίου Δημοσιονομικής Στρατηγικής (Μ.Π.Δ.Σ.) του Υπουργείου και η 
συνεργασία με το Τμήμα Προϋπολογισμού Δημοσίων 
Επενδύσεων για να διασφαλίζεται ότι το Πρόγραμμα Δημοσίων Επενδύσεων του υπουργείου παραμένει μέσα 
στους στόχους του Μ.Π.Δ.Σ.,  γγ) η παρακολούθηση της εναρμόνισης του Προϋπολογισμού με το ισχύον Πλαίσιο Δημοσιονομικής Στρατηγικής, δδ) η διαβίβαση στο Γενικό Λογιστήριο του Κράτους 
(Γ.Λ.Κ.) αιτημάτων μεταβολών του Τακτικού Προϋπολογισμού του Υπουργείου, εε) η συνεργασία με το τμήμα Δημοσιονομικών Αναλύσεων και Αναφορών για την προετοιμασία των απαιτούμενων αναλύσεων και αναφορών σχετικά με τα στοιχεία 
του τακτικού προϋπολογισμού και του Μ.Π.Δ.Σ.,  στστ) η κοινοποίηση εγκυκλίων που σχετίζονται με 
την κατάρτιση, εκτέλεση, τροποποίηση του τακτικού 
προϋπολογισμού στις υπηρεσίες του Υπουργείου και η 
παροχή των απαιτούμενων υποστηρικτικών υπηρεσιών, ζζ) η σύνταξη του Μνημονίου Συνεργασίας με τις αρμόδιες υπηρεσίες του Γενικού Λογιστηρίου του Κράτους 
και η παρακολούθηση των τριμηνιαίων στόχων εκτέλεσης του Προϋπολογισμού σύμφωνα με τα οριζόμενα 
στις κείμενες διατάξεις, ηη) η συγκέντρωση στοιχείων για την παρακολούθηση 
και κατάρτιση του προϋπολογισμού εσόδων,  θθ) η ενημέρωση του Μητρώου Δεσμεύσεων για τις 
μεταβολές του Προϋπολογισμού που εκτελούνται από 
το Τμήμα."
Άρθρο 14,Στο Τμήμα Προϋπολογισμού Δημοσίων Επενδύσεων,"αα) η κατάρτιση ή τροποποίηση και η παρακολούθηση 
εκτέλεσης του προϋπολογισμού δημοσίων επενδύσεων 
του Υπουργείου,  ββ) η κατάρτιση και η παρακολούθηση του Προγράμματος Δημοσίων Επενδύσεων σε μεσοπρόθεσμο επίπεδο καθώς επίσης σε ετήσια και τριμηνιαία βάση και 
η αναθεώρησή του ανάλογα με το τι υπαγορεύουν οι 
καθορισμένες προθεσμίες,  γγ) ο ορισμός υπολόγων διαχειριστών των έργων του 
Προγράμματος Δημοσίων Επενδύσεων για την πληρωμή 
των έργων που εκτελούνται είτε από το Υπουργείο, είτε 
με εξουσιοδότηση από άλλα Υπουργεία, ΝΠΔΔ και ΝΠΙΔ, 
καθώς και η πληροφόρηση τους για την οικονομική κατάσταση των έργων τους, δδ) η πληροφόρηση των φορέων εφαρμογής και των 
υπηρεσιών που είναι υπεύθυνες για έργα του Προγράμματος Δημοσίων Επενδύσεων σχετικά με Συλλογικές 
Αποφάσεις Έργων (Σ.Α.Ε.) και με Συλλογικές Αποφάσεις 
Μελετών και Σχεδιασμού (Σ.Α.Μ.Σ.) και κοινοποίηση 
των οικονομικών στοιχείων αναλυτικά για τα έργα που 
αφορούν, εε) η μέριμνα για τη μηνιαία χρηματοδότηση του 
Προγράμματος Δημοσίων Επενδύσεων, η κατανομή 
της χρηματοδότησης στους λογαριασμούς των έργων 
και η οικονομικό - διαχειριστική παρακολούθηση αυτών, στστ) η παρακολούθηση της εφαρμογής του Πληροφοριακού Συστήματος Παρακολούθησης Πληρωμών 
Οφειλών Δημοσίων Επενδύσεων (ΠΣΥΠΟΔΕ) (ηλεκτρονική καταγραφή πληρωμών Προγράμματος Δημοσίων Επενδύσεων) ως διαχειριστής Οφειλών για το σύνολο 
του Υπουργείου και οδηγίες σε υπολόγους σχετικά με 
την εφαρμογή, ζζ) η ενημέρωση του Μητρώου Δεσμεύσεων για τις 
μεταβολές του Προϋπολογισμού που εκτελούνται από 
το Τμήμα, ηη) η κοινοποίηση εγκυκλίων που σχετίζονται με την 
κατάρτιση, εκτέλεση, τροποποίηση του Προϋπολογισμού Δημοσίων Επενδύσεων στους φορείς, θθ) ο συντονισμός και η συνεργασία με τους εποπτευόμενους φορείς για την παρακολούθηση της κατάρτισης 
και εκτέλεσης του Προγράμματος Δημοσίων Επενδύσεων και του Μ.Π.Δ.Σ, ιι) η συνεργασία με το τμήμα Δημοσιονομικών Αναλύσεων και Αναφορών για την προετοιμασία των απαιτούμενων αναλύσεων και αναφορών, ιαια) η ενημέρωση της ΤτΕ σχετικά με υπευθύνους λογαριασμών στα έργα ΠΔΕ. "
Άρθρο 14,Στο Τμήμα Παρακολούθησης Εποπτευόμενων Φορέων,"αα) η έκδοση αποφάσεων για έγκριση επιχορηγήσεων,  ββ) η εποπτεία της οικονομικής λειτουργίας των εποπτευόμενων φορέων, όπως αυτή προβλέπεται από το 
ισχύον θεσμικό πλαίσιο,  γγ) η καθοδήγηση των εποπτευόμενων φορέων για 
την προετοιμασία του Μ.Π.Δ.Σ, για προσχέδια προϋπολογισμού και άλλες συναφείς ενέργειες, δδ) η διασφάλιση της έγκαιρης επεξεργασίας και κωδικοποίησης των προσχεδίων προϋπολογισμού των 
εποπτευόμενων φορέων σύμφωνα με εγκυκλίους και 
οδηγίες που εκδίδονται από το Υπουργείο και το Γ.Λ.Κ., εε) η έγκριση και αναμόρφωση των προϋπολογισμών 
των Ν.Π.Δ.Δ. και Ν.Π.Ι.Δ. καθώς και των λοιπών φορέων 
που υπάγονται στην αρμοδιότητα του Υπουργείου, η 
εποπτεία επί της διαχείρισης, όπου από τις κείμενες διατάξεις προβλέπεται αυτό, στστ) η συνεργασία με το αρμόδιο Τμήμα για την προετοιμασία των απαιτούμενων αναφορών σχετικά με τα 
στοιχεία του προϋπολογισμού των φορέων, ζζ) η σύνταξη και η παρακολούθηση των προβλεπόμενων από το N# 4270/2014 (Α΄143) Μνημονίων Συνεργασίας με εποπτευόμενους από το Υπουργείο φορείς, ηη) η κοινοποίηση εγκυκλίων που σχετίζονται με την 
κατάρτιση, εκτέλεση, τροποποίηση του προϋπολογισμού των φορέων και παροχή των απαιτούμενων υποστηρικτικών υπηρεσιών."
Άρθρο 14,Στο Τμήμα Δημοσιονομικών Αναλύσεων Αναφορών και Κρατικών Ενισχύσεων,"αα) η λογιστική επεξεργασία και η δημιουργία οικονομικών αναφορών για τις υπηρεσίες και τους φορείς του 
Υπουργείου που επιχορηγούνται ή χρηματοδοτούνται 
κατά οποιονδήποτε τρόπο από αυτό, ββ) η συγκέντρωση των δημοσιονομικών στοιχείων 
από τα μητρώα των δεσμεύσεων του τακτικού προϋπολογισμού, του προγράμματος δημοσίων επενδύσεων, 
των ειδικών φορέων και των εποπτευόμενων φορέων 
του υπουργείου και η καταγραφή αυτών στη διαδικτυακή πύλη (e-portal), γγ) η παρακολούθηση του Μητρώου Δεσμεύσεων και 
των λοιπών λογιστικών βιβλίων για κάθε διαχειριστική 
πράξη, δδ) η σύνταξη πάσης φύσεως οικονομικών καταστάσεων και αναφορών για τις υπηρεσίες του Υπουργείου 
και τους εποπτευόμενους φορείς και η διαβίβασή τους 
στη Βουλή, στο Γ.Λ.Κ., στο Υπουργείο Οικονομίας και 
Ανταγωνιστικότητας για το Πρόγραμμα Δημοσίων Επενδύσεων και στην Ελληνική Στατιστική Αρχή (ΕΛ.ΣΤΑΤ.), εε) η σύνταξη μελετών, αναλύσεων και υποβολή προτάσεων με σκοπό την τήρηση του προϋπολογισμού και 
του μεσοπρόθεσμου προγράμματος, τα οποία αποτελούν μέρος της δημοσιονομικής στρατηγικής, στστ) η αξιολόγηση του εκτελούμενου προϋπολογισμού με στόχο την αύξηση εσόδων, τη μείωση δαπανών 
και γενικά τη χρησιμοποίηση όλων των πόρων με αποδοτικό και αποτελεσματικό τρόπο, ζζ) η παρακολούθηση των ορίων διαθέσης πιστώσεων 
και μηνιαίων πληρωμών, ηη) η προετοιμασία και η προώθηση σχεδίων, συμπεριλαμβανομένων και σχεδίων νόμων, που αφορούν σε 
διαχείριση ή παροχή κρατικών πόρων και ενδέχεται να 
εμπεριέχουν στοιχεία κρατικής ενίσχυσης με την έννοια 
του άρθρου 107.1 της Συνθήκης Λειτουργίας Ευρωπαϊκής Ένωσης (ΣΛΕΕ) για γνωμοδότηση ή και έγκριση από 
την Κεντρική Μονάδα Κρατικών Ενισχύσεων (Κε.Μ.Κ.Ε.) 
του Υπουργείου Οικονομικών, θθ) η υποβολή προτάσεων διόρθωσης και βελτίωσης 
των σχεδίων που προετοιμάζονται από υπηρεσίες του 
υπουργείου, πριν την προώθησή τους στην Κεντρική 
Μονάδα Κρατικών Ενισχύσεων, ιι) η εποπτεία και η υποστήριξη των φορέων αρμοδιότητάς της σε ό,τι αφορά την τήρηση των κανόνων κρατικών 
ενισχύσεων, κατά την προετοιμασία και την υλοποίηση 
μέτρων που εμπεριέχουν στοιχεία κρατικής ενίσχυσης, ιαια) η έγκριση όλων των σχεδίων κρατικών ενισχύσεων που δεν απαιτούν κοινοποίηση, ιβιβ) η παροχή στην Κε.Μ.Κ.Ε. κάθε είδους βοήθειας και 
υποστήριξης, σε περίπτωση κοινοποίησης ενός σχεδίου 
από την Κε.Μ.Κ.Ε. στην Ευρωπαϊκή Επιτροπή ή σε περίπτωση αιτήματος της ΕΕ για παροχή πληροφοριών επί 
μέτρων κρατικής ενίσχυσης αρμοδιότητάς της, ιγιγ) η μέριμνα για την καταχώριση των σχεδίων στο 
ηλεκτρονικό σύστημα Διαδραστικής Αναφοράς Κρατικών Ενισχύσεων State Αid Νotification System (SΑΝΙ), ιδιδ) η υποχρέωση ηλεκτρονικής υποβολής της ετήσιας έκθεσης κρατικών ενισχύσεων μέσω του διαδραστικού συστήματος State Αid Reporting Ιnterractive (SΑRΙ), ιειε) η μέριμνα για την ενημέρωση του μητρώου παρακολούθησης κρατικών ενισχύσεων της υποπαραγράφου 
Β.8 του άρθρου Πρώτου του N# 4152/2013 (Α΄ 107), ως 
προς τα μέτρα αρμοδιότητας τους, ιστιστ) η εποπτεία για την εφαρμογή των αποφάσεων 
ανάκτησης παράνομων κρατικών ενισχύσεων που έχουν 
χορηγηθεί από το Υπουργείο ή τους εποπτευόμενους 
φορείς αρμοδιότητάς της, με βάση τις οδηγίες της ΚεΜΚΕ 
και η παροχή όλων των απαραίτητων στοιχείων στην 
ΚεΜΚΕ για την υποβολή τους στην Ε.Ε, ιζιζ) η υποστήριξη των φορέων χορήγησης παράνομων ενισχύσεων που χρήζουν ανάκτησης, κατά τον 
προσδιορισμό των ωφελούμενων επιχειρήσεων, των 
ποσών, και των τόκων ανά ωφελούμενο που πρέπει να 
ανακτηθούν, ιηιη) η μέριμνα ώστε ο φορέας χορήγησης της ενίσχυσης να προβεί εξαρχής σε όλες τις απαραίτητες ενέργειες 
μέχρι και την τελική ανάκτηση των παρανόμως χορηγηθέντων κρατικών ενισχύσεων (όπως εγγραφή σε πίνακα απαιτήσεων για δικαιούχους που έχουν ενταχθεί σε καθεστώς πτώχευσης, ΚΛΠ#.)."
Άρθρο 15,Στο Τμήμα Εκτέλεσης Προϋπολογισμού,"αα) Η κατάρτιση του σχεδίου απόφασης ανάληψης 
υποχρεώσεων, κατόπιν τεκμηριωμένου αιτήματος του 
διατάκτη και καταχώρηση των αναλαμβανόμενων δεσμεύσεων στα οικεία λογιστικά βιβλία και στο Μητρώο 
Δεσμεύσεων, ββ) ο έλεγχος τήρησης των περί ανάληψης υποχρεώσεων διατάξεων και παροχή βεβαίωσης επί των σχεδίων 
των σχετικών πράξεων, για την ύπαρξη της απαιτούμενης πίστωσης και για τη μη υπέρβαση του οριζόμενου 
κάθε φορά από το αρμόδιο όργανο ποσοστού διάθεσης 
της πίστωσης, γγ) η σύνταξη έκθεσης προς την αρμόδια Δ.Υ.Ε.Ε. σύμφωνα με τις διατάξεις της παραγράφου 3δ του άρθρου 
66 του N# 4270/2014, όπως ισχύει και του περί ανάληψης 
υποχρεώσεων από τους διατάκτες προεδρικού διατάγματος (ΠΔ#. 80/2016), δδ) η συλλογή όλων των απαραίτητων και νόμιμων 
δικαιολογητικών πληρωμής των δαπανών, (εκτός αυτών που διαβιβάζονται από τη Δ/νση Προμηθειών, Υποδομών και Διαχείρισης Υλικού), ο έλεγχος νομιμότητας, κανονικότητας καθώς η εκκαθάριση όλων των δαπανών με 
βάση τα πλήρη και νόμιμα δικαιολογητικά αυτών, εε) η έκδοση τίτλου για την πληρωμή των δαπανών, 
μέσα στα καθοριζόμενα κατά μήνα όρια πληρωμών και 
εντός των προβλεπομένων προθεσμιών από το ενωσιακό και εθνικό κανονιστικό πλαίσιο, στστ) η σύνταξη έκθεσης επί διαφωνιών με το διατάκτη ως προς τη νομιμότητα και κανονικότητα των εκκαθαριζόμενων δαπανών και υποβολή της μετά του σχετικού φακέλου στη Διεύθυνση Συντονισμού και Ελέγχου 
Εφαρμογής Δημοσιολογιστικών Διατάξεων με σχετική 
κοινοποίηση στην αρμόδια Γενική Διεύθυνση Δημοσιονομικών Ελέγχων του Γενικού Λογιστηρίου του Κράτους 
(Γ.Λ.Κ), σύμφωνα με τα οριζόμενα στην παράγραφο 1 του 
άρθρου 26 του N# 4270/2014, ζζ) η σύνταξη έκθεσης προς την αρμόδια Υπηρεσία 
προκειμένου να κινηθεί η προβλεπόμενη από τις κείμενες διατάξεις διαδικασία του επιτόπιου ελέγχου, ηη) η τήρηση του Μητρώου Δεσμεύσεων Τακτικού 
Προϋπολογισμού κατά το μέρος που του αναλογεί, θθ) η τακτοποίηση των χρηματικών ενταλμάτων προπληρωμής, ιι) η εισήγηση αρμοδίως για καταλογισμό δημόσιου 
υπολόγου, καθώς και λαβόντα αχρεώστητης πληρωμής, ιαια) η παροχή απόψεων στα δικαστήρια, εκτέλεση 
δικαστικών αποφάσεων και κοινοποίηση στην αρμόδια Δημοσιονομική Υπηρεσία Εποπτείας και Ελέγχου 
(Δ.Υ.Ε.Ε.) των δικαστικών αποφάσεων αυτών από τις 
οποίες προκύπτει επιβάρυνση στον προϋπολογισμό 
του φορέα, ιβιβ) η μέριμνα για την αποτροπή συσσώρευσης οφειλών,  ιγιγ) η τήρηση των λογιστικών βιβλίων που προβλέπονται από τις ισχύουσες διατάξεις, ιδιδ) η τήρηση Μητρώου Δεσμεύσεων Προγράμματος 
Δημόσιων Επενδύσεων κατά το μέρος που τους αναλογεί, ιειε) η συγκέντρωση δεδομένων από το Μητρώο Δεσμεύσεων και υποβολή σχετικών αναφορών στη Δ/νση 
Προϋπολογισμού και Δημοσιονομικών Αναφορών,  ιστιστ) η καταχώριση των στοιχείων των δικαιούχων 
δαπανών και τήρηση του μητρώου αυτών, ιζιζ) η αποκατάσταση πάγιων προκαταβολών,  ιηιη) η έκδοση επιτροπικών ενταλμάτων για τη μεταβίβαση πιστώσεων στους δευτερεύοντες διατάκτες, ιθιθ) η παρακολούθηση μηνιαίως σε ξεχωριστή κατάσταση των εγγραφών που γίνονται στα λογιστικά βιβλία 
του φορέα για κάθε δευτερεύοντα διατάκτη,  κακα) η παρακολούθηση του βιβλίου υπολόγων και 
εισήγηση στον ΓΔΟΥ για την έκδοση εντολών προς τους 
οικείους εκκαθαριστές αποδοχών για την επίσχεση των 
αποδοχών δημόσιων υπολόγων που καθυστερούν την 
απόδοση λογαριασμού, καθώς και εισήγηση στον αρμόδιο επίτροπο του Ελεγκτικού Συνεδρίου για τον καταλογισμό του υπερήμερου υπολόγου, σύμφωνα με τις 
κείμενες διατάξεις,  κβκβ) η έκδοση συμψηφιστικών ενταλμάτων (τακτικών και προπληρωμής) για την εμφάνιση των εξόδων 
που βαρύνουν το Πρόγραμμα Δημοσίων Επενδύσεων 
στη δημόσια ληψοδοσία, καθώς και έκδοση λοιπών 
συμψηφιστικών χρηματικών ενταλμάτων, όπου προβλέπεται,  κγκγ) η ορθολογική αξιοποίηση των πόρων του 
Υπουργείου βάσει των γενικών αρχών και κανόνων για 
τη δημοσιονομική διαχείριση του N# 4270/2014, κδκδ) η μέριμνα για την έγκριση έκδοσης χρηματικών 
ενταλμάτων προπληρωμής."
