Article,Unit,Value
Άρθρο 5,Στο Τμήμα Διεθνών Σχέσεων,"αα) Η παρακολούθηση των θεμάτων Πολιτισμού και 
Αθλητισμού που συζητούνται σε διεθνές επίπεδο και η 
κατάρτιση Συμβάσεων εκτελεστικών Προγραμμάτων 
Διμερούς ή/και Διακρατικής Πολιτιστικής Συνεργασίας 
της Ελλάδας με ξένες χώρες, η συμμετοχή της χώρας σε 
γεγονότα που αφορούν στον Πολιτισμό και στον Αθλητισμό στο εξωτερικό, και η συνεργασία του Υπουργείου 
Πολιτισμού και Αθλητισμού με τις ξένες διπλωματικές 
αρχές και τα ξένα Πολιτιστικά Ιδρύματα στην Ελλάδα. ββ) Η συμμετοχή και εκπροσώπηση του Υπουργείου 
Πολιτισμού και Αθλητισμού στις διαδικασίες κατάρτισης 
προγραμμάτων πολιτιστικής πολιτικής και συνεργασίας 
με τις οργανώσεις του Απόδημου Ελληνισμού, με τις δραστηριότητες του θεσμού «Παγκόσμια Πρωτεύουσα» και 
στο πλαίσιο των οργάνων Διεθνών Οργανισμών. γγ) Η συγκέντρωση στοιχείων για τη διεθνή προβολή 
του σύγχρονου πολιτισμού στο πλαίσιο της εξωτερικής 
πολιτιστικής πολιτικής. δδ) Η παρακολούθηση και αξιολόγηση των στοιχείων που αφορούν στην επίτευξη των Στόχων Βιώσιμης 
Ανάπτυξης. Στο πλαίσιο αυτό η Δ/νση συντονίζει συναρμόδιες υπηρεσίες ΥΠ.ΠΟ.Α, αξιολογεί την πρόοδο 
εφαρμογής τους και επικουρεί τεχνικά τις λοιπές υπηρεσιακές μονάδες."
Άρθρο 5,Στο Τμήμα Ευρωπαϊκής Ένωσης,"αα) Η παρακολούθηση των θεμάτων Πολιτισμού και 
Αθλητισμού που συζητούνται στα θεσμικά Όργανα της 
Ευρωπαϊκής Ένωσης (Ευρωπαϊκή Επιτροπή, Συμβούλιο της Ευρωπαϊκής Ένωσης, Ευρωπαϊκό Κοινοβούλιο). ββ) Η διαμόρφωση των ελληνικών θέσεων και προτάσεων και η προώθησή τους στα αρμόδια όργανα της 
Ευρωπαϊκής Ένωσης, σε συνεργασία με τις Υπηρεσίες 
του Υπουργείου Πολιτισμού και Αθλητισμού. γγ) Ο συντονισμός των δραστηριοτήτων για τη συμμετοχή σε προγράμματα εθνικής, διασυνοριακής και 
διαπεριφερειακής συνεργασίας της Ευρωπαϊκής Ένωσης καθώς και στο θεσμό «Πολιτιστική Πρωτεύουσα της 
Ευρώπης». δδ) Ο συντονισμός και η προβολή Προγραμμάτων της 
Ευρωπαϊκής Ένωσης για τον πολιτισμό όπως, τα Προγράμματα «Δημιουργική Ευρώπη» και «Ορίζοντας 2020» εε) Η τήρηση ψηφιακού αρχείου τευχών της Εφημερίδας Ε.Ε και λοιπών εντύπων και εκδόσεων Ε.Ε, που 
εμπίπτουν στο πεδίο αρμοδιότητας του Υπουργείου 
Πολιτισμού και Αθλητισμού."
Άρθρο 6,Αυτοτελές Τμήμα Εσωτερικού Ελέγχου Στο Αυτοτελές Τμήμα Εσωτερικού Ελέγχου,"α) Ο έλεγχος επάρκειας του συστήματος εσωτερικού 
ελέγχου (Ιnternal control) του Υπουργείου και η εισήγηση των σχετικών βελτιωτικών προτάσεων. β) Ο έλεγχος εφαρμογής των κανόνων δικαίου, ο έλεγχος της νομιμότητας και κανονικότητας των δαπανών 
*INTOSAI*, όπως και του εσωτερικού 
κανονιστικού πλαισίου λειτουργίας του Υπουργείου, σε 
συνεργασία με τις αρμόδιες υπηρεσίες της ΓΔΟΥ. γ) Η αξιολόγηση της οικονομίας, της αποδοτικότητας 
και της αποτελεσματικότητας των δραστηριοτήτων του 
Υπουργείου (δηλαδή η αξιολόγηση της λειτουργίας του βάσει της αρχής της χρηστής δημοσιονομικής διαχείρισης). δ) Ο έλεγχος της ορθής διενέργειας των δαπανών, 
της ορθής είσπραξης και εμφάνισης των εσόδων, της 
διαχείρισης κινδύνων, όπως και της διαχείρισης της περιουσίας του φορέα με την εξακρίβωση του ενεργητικού 
και παθητικού και του μισθολογικού κόστους, για τον 
εντοπισμό τυχόν φαινομένων κακοδιοίκησης και κακοδιαχείρισης, κατάχρησης, σπατάλης, απάτης ή διαφθοράς 
και την αποτροπή τους στο μέλλον. ε) Η διαβεβαίωση περί της ακρίβειας, της αξιοπιστίας 
και της έγκαιρης προετοιμασίας των χρηματοοικονομικών (και λοιπών) αναφορών. στ) Η διενέργεια ελέγχων για την εξασφάλιση της χρηστής διοίκησης, του δημοσίου συμφέροντος και της ορθολογικής διαχείρισης του δημοσίου χρήματος. ζ) Η διενέργεια, σύμφωνα με τις κείμενες διατάξεις, 
προκαταρκτικού ελέγχου ή ένορκης διοικητικής εξέτασης, σε συνεργασία με τις αρμόδιες Γενικές Διευθύνσεις 
του Υπουργείου, στην περίπτωση ύπαρξης ή υπόνοιας ή 
καταγγελίας πειθαρχικού ή ποινικού αδικήματος.
"
Άρθρο 15,Διοικητικό Γραμματέα του Υπουργείου Πολιτισμού και Αθλητισμού,"αα) Γενική Διεύθυνση Αρχαιοτήτων και Πολιτιστικής 
Κληρονομιάς. ββ) Γενική Διεύθυνση Αναστήλωσης, Μουσείων και 
Τεχνικών Έργων. γγ) Γενική Διεύθυνση Οικονομικών Υπηρεσιών. δδ) Γενική Διεύθυνση Διοικητικής Υποστήριξης και 
Ηλεκτρονικής Διακυβέρνησης."
Άρθρο 17,Τμήμα Προϊστορικών και Κλασικών Αρχαιολογικών Χώρων Μνημείων και Αρχαιολογικών Έργων,"αα) Τη διατήρηση, την προστασία, την ανάδειξη, την 
οργάνωση, τη διαμόρφωση και τη διαχείριση των αρχαιολογικών χώρων, μνημείων και ιστορικών τόπων, την 
επιστημονική μελέτη των συναφών ζητημάτων. ββ) Την προώθηση των διαδικασιών κήρυξης - οριοθέτησης - αναοριοθέτησης και καθορισμού ζωνών προστασίας αρχαιολογικών χώρων μνημείων και ιστορικών 
τόπων και την διαρκή ενημέρωση των σχετικών δεδομένων του Αρχαιολογικού Κτηματολογίου, σε συνεργασία με αρμόδιο τμήμα της Δ/νσης Διαχείρισης Εθνικού 
Αρχείου Μνημείων. γγ) Την παρακολούθηση των σωστικών αρχαιολογικών 
ανασκαφών ή εργασιών, έως την τελική δημοσίευση των 
σχετικών αποτελεσμάτων και τη λήψη μέτρων συντήρησης, προστασίας και τακτοποίησης των ανασκαφικών 
ευρημάτων, εκτός όσων εκτελούνται στο πλαίσιο Μεγάλων Δημοσίων Έργων και στο Πλαίσιο Επενδυτικών 
Προγραμμάτων. δδ) Την αρχαιολογική τεκμηρίωση και παρακολούθηση των τεχνικών έργων και των έργων συντήρησης 
και ανάδειξης σε αρχαιολογικούς χώρους, μνημεία ή 
πλησίον μνημείων και πολιτιστικών αγαθών, καθώς και 
τη διατύπωση γνώμης για την έγκριση μελετών, για την 
εκτέλεση των έργων αυτών. εε) Την υποστήριξη των έργων ανάδειξης, διαμόρφωσης, οργάνωσης, διαχείρισης, συντήρησης, αποκατάστασης και προστασίας αρχαιολογικών χώρων και μνημείων, που πραγματοποιούνται από τις Περιφερειακές και 
Ειδικές Περιφερειακές Υπηρεσίες (εκτός των Δημοσίων Μουσείων) του Υπουργείου Πολιτισμού και Αθλητισμού, 
την προώθηση και επίσπευση των σχετικών διοικητικών 
διαδικασιών, την παρακολούθηση συγχρηματοδοτούμενων έργων ή προγραμμάτων έως την οριστική παραλαβή 
τους και την τήρηση στατιστικών δεδομένων για αυτά. στστ) Τη φροντίδα για την ετήσια κατάρτιση του Προγράμματος Δράσης των Εφορειών Αρχαιοτήτων και την 
επεξεργασία των προτάσεων των Εφορειών Αρχαιοτήτων για την ένταξη νέων έργων σε συγχρηματοδοτούμενα προγράμματα, σε συνεργασία με λοιπές αρμόδιες 
οργανικές μονάδες της Γενικής Διεύθυνσης Αρχαιοτήτων 
και Πολιτιστικής Κληρονομιάς. Την εποπτεία Επιστημονικών Επιτροπών για τη Μελέτη και την Εκτέλεση Έργων 
σε αρχαιολογικούς χώρους και μνημεία. ζζ) Την προώθηση των απαλλοτριώσεων για λόγους 
προστασίας και ανάδειξης αρχαιολογικών χώρων, ιστορικών τόπων και μνημείων αρμοδιότητας της Διεύθυνσης , 
εκτός όσων εμπίπτουν στην αρμοδιότητα του Τμήματος 
Εποπτείας Ελληνικών και Αλλοδαπών Επιστημονικών 
Ιδρυμάτων και Συντονισμού Θεμάτων Διεθνών Συνεργασιών και Οργανισμών. ηη) Την παραχώρηση προσωρινής χρήσης αρχαιολογικών χώρων και μνημείων για την πραγματοποίηση 
καλλιτεχνικών και λοιπών πολιτιστικών εκδηλώσεων και 
τη χορήγηση σχετικών αδειών, εκτός όσων αδειοδοτούνται από τις ΕΦ.Α. θθ) Την έγκριση αιτημάτων κινηματογράφησης σε 
αρχαιολογικούς χώρους και μνημεία εκτός όσων αδειοδοτούνται από τις ΕΦ.Α. ιι) Την προώθηση προτάσεων χορηγιών για θέματα του 
Τμήματος στο Κεντρικό Αρχαιολογικό Συμβούλιο. ιαια) Την τήρηση στατιστικών δεδομένων, σε συνεργασία με τις συναρμόδιες υπηρεσίες της Γενικής Διεύθυνσης Αρχαιοτήτων και Πολιτιστικής Κληρονομιάς και 
το Ταμείο Αρχαιολογικών Πόρων, αναφορικά με την επισκεψιμότητα των αρχαιολογικών χώρων και μνημείων."
Άρθρο 17,Τμήμα Εποπτείας Ελληνικών και Αλλοδαπών Επιστημονικών Ιδρυμάτων και Συντονισμού Θεμάτων Διεθνών Συνεργασιών και Οργανισμών,"αα) Τις ανασκαφές ή επιφανειακές ή άλλης μορφής 
αρχαιολογικές έρευνες, που διενεργούν επιστημονικοί, 
ερευνητικοί ή εκπαιδευτικοί οργανισμοί της ημεδαπής 
με εξειδίκευση στον τομέα της αρχαιολογικής ή παλαιοντολογικής έρευνας ή ξένες αρχαιολογικές αποστολές 
ή σχολές, που είναι εγκατεστημένες στην Ελλάδα, καθώς 
και τις συστηματικές ανασκαφές και λοιπές αρχαιολογικές έρευνες, η διεύθυνση των οποίων έχει ανατεθεί σε 
στελέχη του Υπουργείου Πολιτισμού και Αθλητισμού, 
σύμφωνα με το άρθρο 36 του N# 3028/2002 (Α΄153). ββ) Τη μέριμνα για την ίδρυση Ελληνικών Αρχαιολογικών Σχολών ή Ινστιτούτων στην Αλλοδαπή και την παρακολούθησή τους, την οργάνωση προσωρινών αρχαιολογικών αποστολών στον ευρύτερο χώρο παρουσίας 
του Ελληνισμού στο εξωτερικό, καθώς και τον έλεγχο της 
ίδρυσης ξένων αρχαιολογικών σχολών ή ινστιτούτων με 
έδρα την Ελλάδα. γγ) Το χειρισμό των διεθνών αρχαιολογικών θεμάτων 
που αφορούν σε Διεθνείς Οργανισμούς ή Θεσμικά Όργανα, καθώς και το χειρισμό διακρατικών και μορφωτικών προγραμμάτων για την πολιτιστική κληρονομιά, 
προγραμματικών και επιστημονικών συμφωνιών και 
ανταλλαγών επιστημονικών αποστολών, την υποδοχή 
και ενημέρωση αντιπροσωπειών ξένων κρατών επί θεμάτων πολιτιστικής κληρονομιάς. δδ) Την ενημέρωση επί θεμάτων που άπτονται μνημείων της αρμοδιότητας του Τμήματος, τα οποία ευρίσκονται εκτός της ελληνικής επικράτειας. εε) Τη χορήγηση αδειών μελέτης αρχαιολογικού υλικού σε ερευνητές, καθώς και την εισήγηση προς τη συναρμόδια Διεύθυνση επί αιτημάτων δειγματοληψίας 
αρχαιολογικού υλικού για ερευνητικούς σκοπούς. στστ) Την προώθηση αιτημάτων απαλλοτριώσεων που 
αφορούν σε χώρους όπου εκτελούνται συστηματικές 
αρχαιολογικές έρευνες. ζζ) Την προώθηση υπογραφής των προγραμματικών 
συμβάσεων πολιτισμικής ανάπτυξης του Υπουργείου 
Πολιτισμού και Αθλητισμού με φορείς της Τοπικής Αυτοδιοίκησης ή άλλους συμβαλλόμενους και την παρακολούθηση υλοποίησης αυτών. ηη) Την προώθηση προτάσεων χορηγιών για θέματα 
του Τμήματος στο Κεντρικό Αρχαιολογικό Συμβούλιο."
Άρθρο 17,Τμήμα Συντονισμού και Παρακολούθησης Αρχαιολογικών Ερευνών και Εργασιών,"αα) Το συντονισμό, σχεδιασμό και προγραμματισμό 
των ερευνητικών εργασιών που προηγούνται της δημοπράτησης του έργου στο πλαίσιο Μεγάλων Δημοσίων 
Έργων, όπως προβλέπεται στο N# 3905/2010 (Α΄219). ββ) Τη διασφάλιση της τήρησης του προγραμματισμού 
και του χρονοδιαγράμματος του αρχαιολογικού έργου 
στο πλαίσιο υλοποίησης του Έργου καθώς και των προβλεπόμενων έργων προστασίας και ανάδειξης μνημείων, 
αρχαιολογικών χώρων και ιστορικών τόπων. γγ) Το σχεδιασμό και προγραμματισμό κάθε αναγκαίας σωστικής έρευνας, την παρακολούθηση του αρχαιολογικού μέρους του φυσικού αντικειμένου καθώς και 
την ενδεχόμενη τροποποίησή του κατά τη διάρκεια της 
υλοποίησης των αρχαιολογικών εργασιών. δδ) Την προώθηση και επίσπευση των σχετικών διοικητικών διαδικασιών, την παρακολούθηση της πορείας 
των αρχαιολογικών εργασιών έως την τελική δημοσίευση των σχετικών αποτελεσμάτων και την τήρηση συγκεντρωτικών δεδομένων."
Άρθρο 17,Τμήμα Υποστήριξης Λειτουργίας,"αα) Τη γραμματειακή υποστήριξη της Διεύθυνσης. ββ) Τη διαχείριση και τη διεκπεραίωση των οικονομικών υποχρεώσεων και θεμάτων της Διεύθυνσης.  γγ) Την τήρηση αρχείου και πρωτοκόλλου της Διεύθυνσης. δδ) Τα θέματα προσωπικού με συμβάσεις ιδιωτικού 
δικαίου ορισμένου χρόνου.  εε) Τα θέματα του τακτικού προσωπικού της Διεύθυνσης."
Άρθρο 18,Τμήμα Βυζαντινών και Μεταβυζαντινών Αρχαιολογικών Χώρων Μνημείων και Αρχαιολογικών Έργων,"αα) Τη διατήρηση, την προστασία, την ανάδειξη, την 
οργάνωση, τη διαμόρφωση και τη διαχείριση των αρχαιολογικών χώρων, μνημείων και ιστορικών τόπων αρμοδιότητας της Διεύθυνσης και την επιστημονική μελέτη 
των συναφών ζητημάτων. ββ) Την προώθηση των διαδικασιών κήρυξης - οριοθέτησης - αναοριοθέτησης και καθορισμού ζωνών προστασίας αρχαιολογικών χώρων μνημείων και ιστορικών 
τόπων και την διαρκή ενημέρωση των σχετικών δεδομένων του Αρχαιολογικού Κτηματολογίου, σε συνεργασία με αρμόδιο τμήμα της Δ/νσης Διαχείρισης Εθνικού 
Αρχείου Μνημείων. γγ) Την παρακολούθηση των σωστικών αρχαιολογικών 
ανασκαφών ή εργασιών, έως την τελική δημοσίευση των 
σχετικών αποτελεσμάτων και τη λήψη μέτρων συντήρησης, προστασίας και τακτοποίησης των ανασκαφικών 
ευρημάτων, εκτός όσων εκτελούνται στο πλαίσιο Μεγάλων Δημοσίων Έργων και στο Πλαίσιο Επενδυτικών 
Προγραμμάτων. δδ) Την αρχαιολογική τεκμηρίωση και παρακολούθηση των τεχνικών έργων και των έργων συντήρησης 
και ανάδειξης σε αρχαιολογικούς χώρους, μνημεία ή 
πλησίον μνημείων και πολιτιστικών αγαθών, καθώς και 
τη διατύπωση γνώμης για την έγκριση μελετών, για την 
εκτέλεση των έργων αυτών. εε) Την υποστήριξη των έργων ανάδειξης, διαμόρφωσης, οργάνωσης, διαχείρισης, συντήρησης, αποκατάστασης και προστασίας αρχαιολογικών χώρων και μνημείων, που πραγματοποιούνται από τις Περιφερειακές και 
Ειδικές Περιφερειακές Υπηρεσίες (εκτός των Δημοσίων Μουσείων) του Υπουργείου Πολιτισμού και Αθλητισμού, 
την προώθηση και επίσπευση των σχετικών διοικητικών 
διαδικασιών, την παρακολούθηση συγχρηματοδοτούμενων έργων ή προγραμμάτων έως την οριστική παραλαβή 
τους και την τήρηση στατιστικών δεδομένων για αυτά. στστ) Τη φροντίδα για την ετήσια κατάρτιση του Προγράμματος Δράσης των Εφορειών Αρχαιοτήτων και την 
επεξεργασία των προτάσεων των Εφορειών Αρχαιοτήτων για την ένταξη νέων έργων σε συγχρηματοδοτούμενα προγράμματα, σε συνεργασία με λοιπές αρμόδιες 
οργανικές μονάδες της Γενικής Διεύθυνσης Αρχαιοτήτων 
και Πολιτιστικής Κληρονομιάς. Την εποπτεία Επιστημονικών Επιτροπών για τη Μελέτη και την Εκτέλεση Έργων 
σε αρχαιολογικούς χώρους και μνημεία. ζζ) Την προώθηση των απαλλοτριώσεων για λόγους 
προστασίας και ανάδειξης αρχαιολογικών χώρων, ιστορικών τόπων και μνημείων αρμοδιότητας της Διεύθυνσης, 
εκτός όσων εμπίπτουν στην αρμοδιότητα του Τμήματος 
Εποπτείας Ελληνικών και Αλλοδαπών Επιστημονικών 
Ιδρυμάτων και Συντονισμού Θεμάτων Διεθνών Συνεργασιών και Οργανισμών. ηη) Την παραχώρηση προσωρινής χρήσης αρχαιολογικών χώρων και μνημείων για την πραγματοποίηση 
καλλιτεχνικών και λοιπών πολιτιστικών εκδηλώσεων και 
τη χορήγηση σχετικών αδειών, εκτός όσων αδειοδοτούνται από τις ΕΦ.Α. θθ) Την έγκριση αιτημάτων κινηματογράφησης σε 
αρχαιολογικούς χώρους και μνημεία εκτός όσων αδειοδοτούνται από τις ΕΦ.Α. ιι) Την προώθηση προτάσεων χορηγιών για θέματα 
του Τμήματος στο Κεντρικό Αρχαιολογικό Συμβούλιο. ιαια) Την τήρηση στατιστικών δεδομένων, σε συνεργασία με τις συναρμόδιες υπηρεσίες της Γενικής Διεύθυνσης Αρχαιοτήτων και Πολιτιστικής Κληρονομιάς και 
το Ταμείο Αρχαιολογικών Πόρων, αναφορικά με την επισκεψιμότητα των αρχαιολογικών χώρων και μνημείων."
Άρθρο 18,Τμήμα Εποπτείας Ελληνικών και Αλλοδαπών Επιστημονικών Ιδρυμάτων και Συντονισμού Θεμάτων Διεθνών Συνεργασιών και Οργανισμών,"αα) Τις ανασκαφές ή επιφανειακές ή άλλης μορφής 
αρχαιολογικές έρευνες, που διενεργούν επιστημονικοί, 
ερευνητικοί ή εκπαιδευτικοί οργανισμοί της ημεδαπής 
με εξειδίκευση στον τομέα της αρχαιολογικής ή παλαιοντολογικής έρευνας ή ξένες αρχαιολογικές αποστολές 
ή σχολές, που είναι εγκατεστημένες στην Ελλάδα, καθώς 
και τις συστηματικές ανασκαφές και λοιπές αρχαιολογικές έρευνες, η διεύθυνση των οποίων έχει ανατεθεί σε 
στελέχη του Υπουργείου Πολιτισμού και Αθλητισμού, 
σύμφωνα με το άρθρο 36 του N# 3028/2002 (Α΄153). ββ) Τη μέριμνα για την ίδρυση Ελληνικών Αρχαιολογικών Σχολών ή Ινστιτούτων στην Αλλοδαπή και την παρακολούθησή τους, την οργάνωση προσωρινών αρχαιολογικών αποστολών στον ευρύτερο χώρο παρουσίας 
του Ελληνισμού στο εξωτερικό, καθώς και τον έλεγχο της 
ίδρυσης ξένων αρχαιολογικών σχολών ή ινστιτούτων με 
έδρα την Ελλάδα. γγ) Το χειρισμό των διεθνών αρχαιολογικών θεμάτων 
που αφορούν σε Διεθνείς Οργανισμούς ή Θεσμικά Όργανα, καθώς και το χειρισμό διακρατικών και μορφωτικών προγραμμάτων για την πολιτιστική κληρονομιά, 
προγραμματικών και επιστημονικών συμφωνιών και 
ανταλλαγών επιστημονικών αποστολών, την υποδοχή 
και ενημέρωση αντιπροσωπειών ξένων κρατών επί θεμάτων πολιτιστικής κληρονομιάς. δδ) Την ενημέρωση επί θεμάτων που άπτονται μνημείων της αρμοδιότητας του Τμήματος, τα οποία ευρίσκονται εκτός της ελληνικής επικράτειας. εε) Τη χορήγηση αδειών μελέτης αρχαιολογικού υλικού σε ερευνητές, καθώς και την εισήγηση προς τη συναρμόδια Διεύθυνση επί αιτημάτων δειγματοληψίας 
αρχαιολογικού υλικού για ερευνητικούς σκοπούς. στστ) Την προώθηση αιτημάτων απαλλοτριώσεων που 
αφορούν σε χώρους όπου εκτελούνται συστηματικές 
αρχαιολογικές έρευνες. ζζ) Την προώθηση υπογραφής των προγραμματικών 
συμβάσεων πολιτισμικής ανάπτυξης του Υπουργείου 
Πολιτισμού και Αθλητισμού με φορείς της Τοπικής Αυτοδιοίκησης ή άλλους συμβαλλόμενους και την παρακολούθηση υλοποίησης αυτών. ηη) Την προώθηση προτάσεων χορηγιών για θέματα 
του Τμήματος στο Κεντρικό Αρχαιολογικό Συμβούλιο."
